Date,Race,Winner,Class
22.06,National Championships Tunisia MJ - Road Race,CHEIEB Emen Allah,NC
22.06,National Championships Tunisia WE - Road Race,MARIEM Brini,NC
22.06,National Championships Tunisia WJ - Road Race,ONS Fathallah,NC
23.06,National Championships China WE - ITT,WEI Suwan,NC
23.06,National Championships China WU - ITT,ZHAO Qing,NC
23.06,National Championships Iran WJ - ITT,,NC
24.06,Giro dell'Appennino,ULISSI Diego,1.1
24.06,National Championships China MJ - ITT,LI Xiaoman,NC
24.06,National Championships China WJ - ITT,HOU Yuxin,NC
24.06,National Championships Netherlands ME - ITT,HOOLE Daan,NC
24.06,National Championships Netherlands MJ - ITT,MOURIS Michiel,NC
24.06,National Championships Netherlands MU - ITT,VAN DER WAL Rik,NC
24.06,National Championships Netherlands WE - ITT,BREDEWOLD Mischa,NC
24.06,National Championships Netherlands WJ - ITT,ARENS Megan,NC
24.06,National Championships Ukraine MJ - ITT,SMOLYNETS Oleh,NC
24.06,National Championships Ukraine MU - ITT,KOZORIZ Danylo,NC
24.06,National Championships Ukraine MU - Road Race,,NC
24.06,National Championships Ukraine WE - ITT,BIRIUKOVA Yuliia,NC
24.06,National Championships Ukraine WJ - ITT,USHAKOVA Milana,NC
24.06,National Championships Ukraine WU - ITT,HOLOD Yelyzaveta,NC
24.06,National Championships Uzbekistan ME - ITT,TSVETKOV Nikita,NC
24.06,National Championships Uzbekistan WE - ITT,KUSKOVA Yanina,NC
24.06,Giro dell'Appennino Donne Elite,VITILLO Matilde,1.2
25.06,National Championships Algeria WJ - ITT,,NC
25.06,National Championships Algeria WU - ITT,,NC
25.06,National Championships China MU - ITT,JU Jinyang,NC
25.06,National Championships China MU - Road Race,ZHANG Baoshan,NC
25.06,National Championships Cyprus ME - ITT,MILTIADIS Andreas,NC
25.06,National Championships Cyprus MJ - ITT,DIMITRIOS Prekas,NC
25.06,National Championships Cyprus WE - ITT,GEORGIOU Constantina,NC
25.06,National Championships Eritrea WE - Road Race,ARAYA Monalisa,NC
25.06,National Championships Eritrea WJ - Road Race,,NC
25.06,National Championships Ethiopia ME - ITT,ABREHA Negasi Haylu,NC
25.06,National Championships Ethiopia WJ - ITT,GIMBATO Rahel,NC
25.06,National Championships Hungary ME - ITT,PELIKÁN János,NC
25.06,National Championships Hungary MJ - ITT,VARGA Márk,NC
25.06,National Championships Hungary MU - ITT,TAKÁCS Zsombor Tamás,NC
25.06,National Championships Hungary WE - ITT,ZSANKÓ Petra,NC
25.06,National Championships Hungary WJ - ITT,MUDRA Málna,NC
25.06,National Championships Hungary WU - ITT,TÓTH Réka,NC
25.06,National Championships Italy MJ - ITT,CAPELLO Roberto,NC
25.06,National Championships Italy WJ - ITT,DE LAURENTIIS Elena,NC
25.06,National Championships Kazakhstan WJ - Road Race,BURENKOVA Angelina,NC
25.06,National Championships Latvia ME - ITT,SKUJIŅŠ Toms,NC
25.06,National Championships Latvia MJ - ITT,TJUMINS Georgs,NC
25.06,National Championships Latvia MU - ITT,SKRAPCIS Olivers Jēkabs,NC
25.06,National Championships Latvia WE - ITT,ROŽLAPA Dana,NC
25.06,National Championships Latvia WJ - ITT,BRILTE Linda Elizabete,NC
25.06,National Championships Poland MJ - ITT,JACKOWIAK Jan Michal,NC
25.06,National Championships Poland MU - ITT,WALINIAK Konrad,NC
25.06,National Championships Poland WJ - ITT,OKRUCIŃSKA Maria,NC
25.06,National Championships Poland WU - ITT,SZCZĘSNA Martyna,NC
25.06,National Championships Ukraine ME - ITT,BUDIAK Anatolii,NC
25.06,National Championships Uzbekistan WE - Road Race,ABDULLAEVA Shakhnoza,NC
25.06,National Championships China WU - Road Race,WANG Shengning,NC
25.06,National Championships Cyprus WJ - ITT,GAVRIEL Sotiriana Sofia,NC
26.06,National Championships Afghanistan WE - ITT,HASHIMI Fariba,NC
26.06,National Championships Algeria ME - ITT,LAGAB Azzedine,NC
26.06,National Championships Algeria MJ - ITT,HAMZIOUI Salah,NC
26.06,National Championships Algeria MU - ITT,SAHIRI Ali Zakaria,NC
26.06,National Championships Algeria WE - ITT,HOUILI Nesrine,NC
26.06,National Championships China ME - Road Race,MIAO Chengshuo,NC
26.06,National Championships China WJ - Road Race,HOU Yuxin,NC
26.06,National Championships Czech Republic ME - ITT,VACEK Mathias,NC
26.06,National Championships Czech Republic MJ - ITT,PATRAS Jakub,NC
26.06,National Championships Czech Republic MU - ITT,BITTNER Jan,NC
26.06,National Championships Czech Republic WE - ITT,KOPECKÝ Julia,NC
26.06,National Championships Czech Republic WJ - ITT,ŠPICAROVÁ Karolina,NC
26.06,National Championships Dominican Republic ME - ITT,GARCIA Erlin Antonio,NC
26.06,National Championships Dominican Republic MJ - ITT,SANCHEZ Yowal Ismael,NC
26.06,National Championships Dominican Republic MU - ITT,BIERD Frailyn,NC
26.06,National Championships Dominican Republic WE - ITT,ESPIRITUSANTO Flor,NC
26.06,National Championships Dominican Republic WJ - ITT,CORNELIO Christal,NC
26.06,National Championships Dominican Republic WU - ITT,PEREZ Melsey Yamely,NC
26.06,National Championships Estonia WJ - Road Race,KOIK Mariann,NC
26.06,National Championships Estonia WU - Road Race,SANDER Laura Lizette,NC
26.06,National Championships Ethiopia MJ - ITT,MERESA Hagos,NC
26.06,National Championships Ethiopia WE - ITT,ABRHA Fkadu Brhan,NC
26.06,National Championships France ME - ITT,ARMIRAIL Bruno,NC
26.06,National Championships France WE - ITT,KERBAOL Cédrine,NC
26.06,National Championships Great Britain ME - ITT,HAYTER Ethan,NC
26.06,National Championships Great Britain MU - ITT,THORNLEY Callum,NC
26.06,National Championships Great Britain WE - ITT,BÄCKSTEDT Zoe,NC
26.06,National Championships Great Britain WU - ITT,COUZENS Millie,NC
26.06,National Championships Ireland ME - ITT,MULLEN Ryan,NC
26.06,National Championships Ireland MJ - ITT,MURPHY Conor,NC
26.06,National Championships Ireland MU - ITT,RAFFERTY Adam,NC
26.06,National Championships Ireland WE - ITT,MURPHY Kelly,NC
26.06,National Championships Ireland WJ - ITT,RAFFERTY Aliyah,NC
26.06,National Championships Italy ME - ITT,GANNA Filippo,NC
26.06,National Championships Italy MU - ITT,DONATI Davide,NC
26.06,National Championships Italy WE - ITT,GUAZZINI Vittoria,NC
26.06,National Championships Kazakhstan ME - ITT,FEDOROV Yevgeniy,NC
26.06,National Championships Kazakhstan MJ - ITT,PODLUZHNYY Pavel,NC
26.06,National Championships Kazakhstan MU - ITT,REMKHI Rudolf,NC
26.06,National Championships Kazakhstan WE - ITT,OSSIM Akpeiil,NC
26.06,National Championships Kazakhstan WJ - ITT,YELKINA Mariya,NC
26.06,National Championships Kazakhstan WU - ITT,KAZAKOVA Violetta,NC
26.06,National Championships Latvia WJ - Road Race,KOZLOVSKA Katrīna Amanda,NC
26.06,National Championships Latvia WU - Road Race,SILTUMĒNA Kitija,NC
26.06,National Championships Lithuania WJ - Road Race,LIUTINSKAITĖ Monika,NC
26.06,National Championships Lithuania WU - Road Race,BIDVAITĖ Mantė,NC
26.06,National Championships Luxembourg ME - ITT,JUNGELS Bob,NC
26.06,National Championships Luxembourg MJ - ITT,ASTOLFI Flavio,NC
26.06,National Championships Luxembourg MU - ITT,KOCKELMANN Mathieu,NC
26.06,National Championships Luxembourg WE - ITT,SCHREIBER Marie,NC
26.06,National Championships Luxembourg WJ - ITT,LOPES Elena,NC
26.06,National Championships Luxembourg WU - ITT,WENZEL Liv,NC
26.06,National Championships Norway ME - ITT,FOSS Tobias,NC
26.06,National Championships Norway MJ - ITT,ØKSNES Håkon Eiksund,NC
26.06,National Championships Norway WE - ITT,AALERUD Katrine,NC
26.06,National Championships Norway WJ - ITT,GISSINGER Oda Aune,NC
26.06,National Championships Poland ME - ITT,MACIEJUK Filip,NC
26.06,National Championships Poland WE - ITT,SKALNIAK-SÓJKA Agnieszka,NC
26.06,National Championships Slovakia ME - ITT,SCHWARZBACHER Matthias,NC
26.06,National Championships Slovakia MJ - ITT,PASTVA Jakub,NC
26.06,National Championships Slovakia WE - ITT,CHLADOŇOVÁ Viktória,NC
26.06,National Championships Slovakia WJ - ITT,ANDACKÁ Nina,NC
26.06,National Championships South Korea ME - ITT,CHOE Hyeong Min,NC
26.06,National Championships South Korea WE - ITT,SHIN Jieun,NC
26.06,National Championships Switzerland ME - ITT,SCHMID Mauro,NC
26.06,National Championships Switzerland MJ - ITT,SALAMIN Antoine,NC
26.06,National Championships Switzerland MU - ITT,BARHOUMI Ilian Alexandre,NC
26.06,National Championships Switzerland WE - ITT,REUSSER Marlen,NC
26.06,National Championships Switzerland WJ - ITT,GROSSMANN Anja,NC
26.06,National Championships Switzerland WU - ITT,LEU Lorena,NC
26.06,National Championships Turkey ME - ITT,ABAY Burak,NC
26.06,National Championships Turkey MJ - ITT,ERÜLKÜ Ege,NC
26.06,National Championships Turkey MU - ITT,TEKİRDAĞ Arda,NC
26.06,National Championships Turkey WE - ITT,YAKIŞIR Reyhan,NC
26.06,National Championships Turkey WJ - ITT,ERTEKIN Buse Hatice,NC
26.06,National Championships Ukraine MJ - Road Race,SMOLYNETS Oleh,NC
26.06,National Championships Uzbekistan ME - Road Race,TAKHIROV Diyor,NC
26.06,National Championships Venezuela ME - ITT,AULAR Orluis,NC
26.06,National Championships Venezuela MJ - ITT,ORTIZ Williver Josue,NC
26.06,National Championships Venezuela MU - ITT,CUADROS Arley Alexander,NC
26.06,National Championships Venezuela WE - ITT,CHACÓN Lilibeth,NC
26.06,National Championships Venezuela WJ - ITT,ROA Yeniret Alexandra,NC
26.06,National Championships Venezuela WU - ITT,CANDELAS Fabiana,NC
27.06 - 29.06,BESTRONICS Acht van Bladel,MOURIS Michiel,2.1
27.06,National Championships Algeria MJ - Road Race,TAMAZOURT Hichem,NC
27.06,National Championships Algeria WE - Road Race,HOUILI Nesrine,NC
27.06,National Championships Algeria WJ - Road Race,,NC
27.06,National Championships Austria ME - ITT,GROßSCHARTNER Felix,NC
27.06,National Championships Austria MU - ITT,STIEGER Adrian,NC
27.06,National Championships Austria WE - ITT,SCHWEINBERGER Christina,NC
27.06,National Championships Austria WU - ITT,HUYS Tabea,NC
27.06,National Championships Belgium ME - ITT,EVENEPOEL Remco,NC
27.06,National Championships Belgium WE - ITT,KOPECKY Lotte,NC
27.06,National Championships Bulgaria ME - ITT,STOYNEV Emil,NC
27.06,National Championships Bulgaria MJ - ITT,VAN DER MERWE Nicholas,NC
27.06,National Championships Bulgaria MU - ITT,HADZHISTOYANOV Borislav,NC
27.06,National Championships Bulgaria WE - ITT,KOLISHEVA Nikol,NC
27.06,National Championships Canada ME - ITT,LEONARD Michael,NC
27.06,National Championships Canada MJ - ITT,RIGBY Monty,NC
27.06,National Championships Canada MU - ITT,MATTERN Carson,NC
27.06,National Championships Canada WE - ITT,BARIL Olivia,NC
27.06,National Championships Canada WJ - ITT,SWIERENGA Sidney,NC
27.06,National Championships Canada WU - ITT,HOLMGREN Ava,NC
27.06,National Championships China WE - Road Race,CHEN Lulu,NC
27.06,National Championships Denmark ME - ITT,PEDERSEN Mads,NC
27.06,National Championships Denmark WE - ITT,KOERNER Rebecca,NC
27.06,National Championships Eritrea ME - ITT,GHEBREIGZABHIER Amanuel,NC
27.06,National Championships Eritrea MJ - ITT,,NC
27.06,National Championships Eritrea WE - ITT,ARAYA Monalisa,NC
27.06,National Championships Eritrea WJ - ITT,,NC
27.06,National Championships Eritrea WU - ITT,,NC
27.06,National Championships Estonia MJ - Road Race,REI Karel Gustav,NC
27.06,National Championships Estonia MU - Road Race,KÜÜT Oskar,NC
27.06,National Championships Germany ME - ITT,SCHACHMANN Maximilian,NC
27.06,National Championships Germany MU - ITT,KESSLER Bruno,NC
27.06,National Championships Germany WE - ITT,NIEDERMAIER Antonia,NC
27.06,National Championships Germany WU - ITT,CZAPLA Justyna,NC
27.06,National Championships Greece ME - ITT,BOUGLAS Georgios,NC
27.06,National Championships Greece WE - ITT,FASOI Varvara,NC
27.06,National Championships Iceland ME - ITT,ÓMARSSON Ingvar,NC
27.06,National Championships Iceland MJ - ITT,SÖLVASON Sólon Kári,NC
27.06,National Championships Iceland WE - ITT,SIGURÐARDÓTTIR Hafdís,NC
27.06,National Championships Iceland WJ - ITT,HENNINGSDÓTTIR Hekla,NC
27.06,National Championships Indonesia ME - ITT,SYELHAN Muhammad,NC
27.06,National Championships Indonesia MJ - Road Race,RAMADHANA Vinsya,NC
27.06,National Championships Indonesia MU - ITT,RIZQI Dimas Nur Fadhil,NC
27.06,National Championships Indonesia WE - ITT,DELIA PRIATNA Ayustina,NC
27.06,National Championships Indonesia WJ - Road Race,ASSHOFI Nihayatuzzain,NC
27.06,National Championships Indonesia WU - ITT,DEWI Sayu Bella Sukma,NC
27.06,National Championships Jordan ME - Road Race,ABU HARRAH Majid,NC
27.06,National Championships Jordan WE - Road Race,KHALED Samah,NC
27.06,National Championships Kazakhstan MJ - Road Race,KUITENOV Murat,NC
27.06,National Championships Latvia MJ - Road Race,KANCERS Helvijs,NC
27.06,National Championships Latvia MU - Road Race,LAPIŅŠ Gusts,NC
27.06,National Championships Lithuania MJ - Road Race,BILERTAS Arnas,NC
27.06,National Championships Lithuania MU - Road Race,KLIMAVIČIUS Nikolas,NC
27.06,National Championships Mongolia ME - ITT,SAINBAYAR Jambaljamts,NC
27.06,National Championships Mongolia WE - ITT,JINJIIBADAM Anujin,NC
27.06,National Championships Morocco ME - ITT,EL KOURAJI Mohcine,NC
27.06,National Championships Morocco MJ - ITT,KHARBOUCHI Marouane,NC
27.06,National Championships Morocco MU - ITT,EL ALOUANI Driss,NC
27.06,National Championships Morocco WE - ITT,BENALLAL Mallika,NC
27.06,National Championships Morocco WJ - ITT,CHARDOUDI Amina,NC
27.06,National Championships Morocco WU - ITT,ALAHIANE Fatima Zohra,NC
27.06,National Championships North Macedonia ME - ITT,NASTEVSKI Slobodan,NC
27.06,National Championships North Macedonia MJ - ITT,ANCEVSKI Kiril,NC
27.06,National Championships North Macedonia MU - ITT,JOVANOSKI Dimitar,NC
27.06,National Championships North Macedonia WE - ITT,PETROVA Elena,NC
27.06,National Championships Poland MU - Road Race,LEWANDOWSKI Dawid,NC
27.06,National Championships Poland WJ - Road Race,OKRUCIŃSKA Maria,NC
27.06,National Championships Portugal ME - ITT,MORGADO António,NC
27.06,National Championships Portugal MU - ITT,LOPES Lucas,NC
27.06,National Championships Portugal WE - ITT,ROXO Beatriz,NC
27.06,National Championships Puerto Rico WJ - Road Race,COLON Daliana Alexandra,NC
27.06,National Championships Slovenia ME - ITT,ŠTAJNAR Mihael,NC
27.06,National Championships Slovenia MJ - ITT,KUNTARIČ Vanja,NC
27.06,National Championships Slovenia MU - ITT,KOMAC Nejc,NC
27.06,National Championships Slovenia WE - ITT,BUJAK Eugenia,NC
