Rank,Rider,Team,Points
317,TAARAMÄE Rein,Kinan Racing Team,201
318,BREUILLARD Nicolas,TotalEnergies,201
319,CHARMIG Anthon,Uno-X Mobility,200
320,CAVIA Daniel,Burgos Burpellet BH,199
321,PINARELLO Alessandro,NSN Cycling Team,198
322,DUNBAR Eddie,Pinarello Q36.5 Pro Cycling Team,197
323,CHUMIL Sergio Geovani,Burgos Burpellet BH,197
324,OMRZEL Jakob,Bahrain - Victorious,195
325,VAN UDEN Casper,Team Picnic PostNL,193
326,NERURKAR Lukas,EF Education - EasyPost,193
327,CASTELLON Jan,Caja Rural - Seguros RGA,191
328,EIKING Odd Christian,Unibet Rose Rockets,190
329,ZANONCELLO Enrico,Bardiani CSF 7 Saber,190
330,MAGLI Filippo,Bardiani CSF 7 Saber,190
331,BRENNER Marco,Tudor Pro Cycling Team,190
332,PELLAUD Simon,Li Ning Star,189
333,CAPIOT Amaury,Team Jayco AlUla,188
334,DOUBEY Fabien,TotalEnergies,188
335,BUSATTO Francesco,Alpecin-Premier Tech,188
336,KELDERMAN Wilco,Team Visma | Lease a Bike,187
337,LIVYNS Arjen,XDS Astana Team,187
338,GALVÁN Francisco,,187
339,BENNETT Sam,Pinarello Q36.5 Pro Cycling Team,186
340,BOGUSŁAWSKI Marceli,ATT Investments,186
341,LOOCKX Lander,Unibet Rose Rockets,185
342,FOSS Tobias,INEOS Grenadiers,184
343,CATTANEO Mattia,Red Bull - BORA - hansgrohe,182
344,VAN BOVEN Luca,Lotto Intermarché,182
345,LEMMEN Bart,Team Visma | Lease a Bike,180
346,EENKHOORN Pascal,Soudal Quick-Step,179
347,AFFINI Edoardo,Team Visma | Lease a Bike,178
348,ASGREEN Kasper,EF Education - EasyPost,178
349,HOPKINS Dylan,Roojai Insurance Winspace,178
350,RUTSCH Jonas,Lotto Intermarché,177
351,ZWIEHOFF Ben,Red Bull - BORA - hansgrohe,177
352,BARTA Will,Tudor Pro Cycling Team,176
353,NAESEN Oliver,Decathlon CMA CGM Team,175
354,COSTA Rui,,175
355,HAJEK Alexander,Red Bull - BORA - hansgrohe,175
356,ALEOTTI Giovanni,Red Bull - BORA - hansgrohe,174
357,RUSSO Clément,Groupama - FDJ United,173
358,HOLTER Ådne,Uno-X Mobility,172
359,KUDUS Merhawi,Burgos Burpellet BH,171
360,VAN HEMELEN Vincent,Team Flanders - Baloise,171
361,MOLARD Rudy,Groupama - FDJ United,170
362,CEPEDA Jefferson Alveiro,Movistar Team,170
363,CAICEDO Jonathan Klever,Petrolike,169
364,ROLLAND Brieuc,Groupama - FDJ United,169
365,ALLENO Clément,Burgos Burpellet BH,167
366,MAEKELE Milkias,INEOS Grenadiers Racing Academy,167
367,VERONA Carlos,Lidl - Trek,166
368,PAGE Hugo,Cofidis,166
369,KRAGH ANDERSEN Søren,Lidl - Trek,165
370,GAROFOLI Gianmarco,Soudal Quick-Step,165
371,SAFARZADEH Saeid,,164
372,KÄMNA Lennard,Lidl - Trek,164
373,KNIGHT Oliver,Cofidis,164
374,DE PRETTO Davide,Team Jayco AlUla,163
375,PLANCKAERT Edward,Alpecin-Premier Tech,162
376,ARASHIRO Yukiya,Solution Tech NIPPO Rali,161
377,GUERREIRO Ruben,,161
378,PITA Cristian David,Roojai Insurance Winspace,161
379,PEDERSEN Casper,Soudal Quick-Step,161
380,GENIETS Kevin,Groupama - FDJ United,161
381,MARTINEZ Juan Guillermo,Team Picnic PostNL,161
382,BERASATEGI Xabier,Euskaltel - Euskadi,160
383,MAYER Alexandre,Burgos Burpellet BH,159
384,VAN BAARLE Dylan,Soudal Quick-Step,158
385,ZINGLE Axel,Team Visma | Lease a Bike,158
386,VAN MECHELEN Vlad,Bahrain - Victorious,158
387,OLDANI Stefano,Caja Rural - Seguros RGA,157
388,VAN DIJKE Mick,Red Bull - BORA - hansgrohe,157
389,MARCELLUSI Martin,Bardiani CSF 7 Saber,157
390,SWIFT Ben,INEOS Grenadiers,156
391,RAILEANU Cristian,Li Ning Star,156
392,WOODS Michael,,156
393,HODEG Álvaro José,,156
394,ZIJLAARD Maikel,Tudor Pro Cycling Team,156
395,BONNEU Kamiel,Solution Tech NIPPO Rali,156
396,PLOWRIGHT Jensen,Alpecin-Premier Tech,156
397,RACCAGNI NOVIERO Andrea,Soudal Quick-Step,155
398,LYU Xianjing,,153
399,ARTZ Huub,Lotto Intermarché,153
400,BUDZIŃSKI Marcin,MBH Bank CSB Telecom Fort,152
401,LABROSSE Jordan,Decathlon CMA CGM Team,152
402,PEDERSEN Rasmus Søjberg,Decathlon CMA CGM Team,152
403,DE BOD Stefan,Modern Adventure Pro Cycling,151
404,LUTSENKO Alexey,NSN Cycling Team,150
405,VIVIANI Elia,,150
406,DE KLEIJN Arvid,Tudor Pro Cycling Team,150
407,SHAW James,EF Education - EasyPost,150
408,CRESCIOLI Ludovico,Team Polti VisitMalta,150
