Rank,Rider,Team,Points
1074,VERGAERDE Otto,Lidl - Trek,28
1075,BOGDANOVIČS Māris,FNIX - SCOM - Hengxiang Cycling Team,28
1076,ÖRKEN Ahmet,,28
1077,HENAO Sergio,,28
1078,GUÉGAN Maël,CIC Pro Cycling Academy,28
1079,KONIJN Alexander,Nice Métropole Côte d'Azur,28
1080,GEORGE Alfred,Elite Fondations Cycling Team,28
1081,MAHOUDO Nolann,VC Pays de Loudéac,28
1082,KESS Alexandre,Team Lotto Kern-Haus Outlet Montabaur,28
1083,AGOSTINACCHIO Filippo,Biesse - Carrera - Premac,28
1084,VAN DER MEULEN Max,Bahrain - Victorious,28
1085,AMBROSSI Facundo Nicolás,,28
1086,VELIA Olsian,,27
1087,CAHYADI Aiman,,27
1088,LUCCA Riccardo,,27
1089,ABAY Burak,Konya Büyükşehir Belediye Spor,27
1090,WEEMAES Sasha,,27
1091,MORIN Emmanuel,Team Adris-La Crêpe de Brocéliande-BLC,27
1092,DUARTE Emanuel,Credibom / LA Alumínios / Marcos Car,27
1093,SZÓSTKA Paweł,,27
1094,KIM Euro,LX Cycling Team,27
1095,IVANOV Timofei,Wheeltop Rotor Chengdu Team,27
1096,RASENBERG Martijn,Unibet Rose Rockets,27
1097,DINHAM Matthew,Team Picnic PostNL,27
1098,BÉNÉTEAU Lucas,St Michel - Preference Home - Auber93,27
1099,MUÑIZ José Ramón,Canel's - Java,27
1100,MEIN Thomas,,27
1101,GRYGOWSKI Hubert,Mazowsze Serce Polski,27
1102,JOCHUM Ben Felix,Team Lotto Kern-Haus Outlet Montabaur,27
1103,HAUGSTED Conrad,Team ColoQuick,27
1104,GARZÓN Óscar Santiago,,27
1105,BAKER Rowan,Jakroo Handsling Racing,27
1106,LE GAC Olivier,Groupama - FDJ United,26
1107,KERCKHAERT Jochem,BEAT Cycling Club,26
1108,PAJUR Markus,FNIX - SCOM - Hengxiang Cycling Team,26
1109,BULUT Samet,MBB Continental Cycling Team,26
1110,REEMEIJER Niels,Wielerploeg Groot Amsterdam,26
1111,LEDESMA Gerard,VC Fukuoka,26
1112,HIRT Jan,NSN Cycling Team,25
1113,GROSU Eduard-Michael,FNIX - SCOM - Hengxiang Cycling Team,25
1114,SERRY Pieter,,25
1115,LAENGEN Vegard Stake,UAE Team Emirates - XRG,25
1116,PELIKÁN János,Team United Shipping,25
1117,DÁRIO António,Equipa de Ciclismo Inter Clube,25
1118,SWIRBUL Keegan,Efapel Cycling,25
1119,DEBEAUMARCHÉ Nicolas,Cofidis,25
1120,DESAL Ceriel,Soudal Quick-Step Devo Team,25
1121,MARIS Elias,Team Flanders - Baloise,25
1122,STAMPE Daniel,BHS - PL Beton Bornholm,25
1123,KUYPERS Gerben,,25
1124,BORSTELMANN John,,25
1125,AGNOLETTO Blake,Groupama-FDJ United CT,25
1126,PICIU Mattew-Denis,,25
1127,ROJAS Brandon Alejandro,GW Erco SportFitness,25
1128,PEDERSEN Henrik,Uno-X Mobility,25
1129,TUCKWELL Luke,Red Bull - BORA - hansgrohe,25
1130,MÜLLER Tobias,Unibet Rose Rockets,25
1131,KOECH Silas,Team Lotto Kern-Haus Outlet Montabaur,25
1132,GONZALEZ Jyven,L39ION of Los Angeles,25
1133,JONKMANS Tom,Wielerploeg Groot Amsterdam,25
1134,ROJAS Vicente,Bardiani CSF 7 Saber,25
1135,MAROLT Jaka,Factor Racing,25
1136,GIRMAY Mewael,Istanbul Team,25
1137,STOYNEV Emil,,25
1138,RAMSAY Andrew,,25
1139,AZIZ Mohab Youssef,,25
1140,BOULET Eliott,Groupama-FDJ United CT,25
1141,MANDIN MEDINA Yunior Brayan,,25
1142,EEFTING-BLOEM Roy,,24
1143,JAKOBSEN Fabio,Team Picnic PostNL,24
1144,WIJFJE Tom,Universe Cycling Team,24
1145,CAMPBELL Akill,,24
1146,ED DOGHMY Achraf,Qatar Pro Team,24
1147,WALLENBORN Arno,Team Lotto Kern-Haus Outlet Montabaur,24
1148,LANDBO Mads,Team ColoQuick,24
1149,MILAN Matteo,Groupama - FDJ United,24
1150,GONZELI Otavio Augusto,,24
1151,HAUGLAND Kasper,Decathlon CMA CGM Development Team,24
1152,BORGO Alessandro,Bahrain - Victorious,24
1153,RODRIGUEZ Juan Felipe,EF Education - Aevolo,24
1154,BOMFIM DE ALMEIDA Luiz Fernando,,24
1155,GRANADOS Alejandro,Colono Bikestation Kölbi,24
1156,OYOLA Róbigzon Leandro,Team Medellín - EPM,23
1157,CARSTENSEN Lucas,Kinan Racing Team,23
1158,BUDDING Martijn,,23
1159,PAWLAK Tobiasz,ATT Investments,23
1160,BORTOLUZZI Giovanni,General Store - Essegibi - F.Lli Curia,23
1161,DONZÉ Robin,Tudor Pro Cycling Team,23
1162,CONFORTI Lorenzo,Bardiani CSF 7 Saber,23
1163,GUTIERREZ Carlos Alberto,,23
1164,PEACE Oliver,Team Picnic PostNL,23
1165,DE FABRITIIS Gabriele,Gragnano Sporting Club,23
1166,PATTINSON Tomos,EF Education - Aevolo,23
1167,ØXENBERG Peter,INEOS Grenadiers,23
1168,MÉNDEZ Diego Alejandro,,23
1169,KAM Chin Pok,China Anta - Mentech Cycling Team,23
1170,ABDURRAHMAN Muhammad,Jakarta Pro Cycling Team,22
1171,YEO Boon Kiak,,22
1172,NUNES Hugo,Credibom / LA Alumínios / Marcos Car,22
1173,EL ARBAOUI Adil,,22
1174,NGUYỄN Tuấn Vũ,,22
1175,RETAILLEAU Valentin,TotalEnergies,22
1176,IMAMURA Shunsuke,Lotto - Groupe Wanty,22
1177,GONZÁLEZ Abner,Illes Balears Arabay,22
1178,KLOPPENBORG Lukas Sulaj,,22
1179,MARTINELLI Alessio,Bardiani CSF 7 Saber,22
1180,ROSSI João Pedro,,22
1181,CLASSEN Caleb,Project Echelon Racing,22
1182,TAMM Lauri,Charvieu Chavagneux Isère Cyclisme,22
1183,PAJUR Romet,Red Bull - BORA - hansgrohe Rookies,22
1184,DODD Matthew,INEOS Grenadiers Racing Academy,22
1185,YILMAZ Ramazan,Konya Büyükşehir Belediye Spor,22
1186,TREPTE Liam,,22
1187,KUROEDA Shiki,,21
1188,RODAS Manuel,,21
1189,BONILLA Daniel Andres,,21
1190,VAN SINTMAARTENSDIJK Daan,BEAT Cycling Club,21
1191,MACLEOD Callum,,21
1192,CALZONI Walter,Pinarello Q36.5 Pro Cycling Team,21
1193,MOYATA Eduardo,Pío Rico Cycling Team,21
1194,OLIVER Ben,Modern Adventure Pro Cycling,21
1195,CHAVARRIA Derrick,China Chermin Cycling Team,21
1196,HOFBAUER Philipp,Team Vorarlberg,21
1197,RAWENDE Moucaila,,21
1198,ALUSTIZA Nicolás,Euskaltel - Euskadi,21
1199,MASCIARELLI Lorenzo,MBH Bank CSB Telecom Fort,21
1200,GOJKOVIĆ Nicolas,,21
1201,CHRISTIAN Sean,Modern Adventure Pro Cycling,21
1202,AGUILAR Luis,,21
1203,VEDEL Gabin,Convergence SC Abymienne Propreté 2000,21
1204,VANHUFFEL Matteo,Development Team Picnic PostNL,21
1205,MIENTKI Kacper,,21
1206,TORRES Albert,Movistar Team,20
1207,WOUTERS Rutger,K.O.F.M. x Thielemans - Bildin - Van Eyck Sport Cycling Team,20
1208,DE MARCHI Alessandro,,20
1209,ARCAS Jorge,Movistar Team,20
1210,STOCKMAN Abram,Unibet Rose Rockets,20
1211,WHITEHOUSE Daniel,St George Continental Cycling Team,20
1212,LEWIS Adam,APS Pro Cycling by Team Cadence Cyclery,20
1213,CONCA Filippo,Team Jayco AlUla,20
1214,FROIDEVAUX Robin,Tudor Pro Cycling Team,20
1215,OCAMPO Victor,Team Medellín - EPM,20
1216,BALMER Alexandre,Solution Tech NIPPO Rali,20
1217,KAŠKO Dávid,Dukla Banska Bystrica,20
1218,NG Pak Hang,HKSI Pro Cycling Team,20
1219,SANTY Arne,Tarteletto - Isorex,20
1220,HEMING Miká,ATT Investments,20
1221,VANDENSTORME Dylan,Team Flanders - Baloise,20
1222,DEMAN Brem,Team Flanders - Baloise,20
1223,DOLVEN Halvor,Lotto - Groupe Wanty,20
1224,FONSECA DA SILVA FREITAS Kacio,,20
1225,SMITHSON Jed,Hagens Berman Jayco,20
1226,CAPRA Thomas,Bahrain Victorious Development Team,20
1227,GIAIMI Luca,UAE Team Emirates Gen Z,20
1228,WATANABE Ikki,,20
1229,DUNWOODY Seth,Bahrain Victorious Development Team,20
1230,BEHRENS Niklas,Team Visma | Lease a Bike,20
1231,TRILLAT Jose,,20
1232,QUINTERO Juan Diego,Petrolike,20
1233,CARDIS Romain,St Michel - Preference Home - Auber93,19
1234,KUKRLE Michael,Kasper crypto4me,19
1235,NOLDE Tobias,Team Vorarlberg,19
1236,GERMOSO Rudy,,19
1237,RÖBER Dominik,Team Vorarlberg,19
1238,UGA Ryuki,Kinan Racing Team,19
1239,CHU Tsun Wai,HKSI Pro Cycling Team,19
1240,RODRÍGUEZ Diego Leonel,,19
1241,MUHOZA Eric,,19
1242,DEWEIRDT Siebe,Team Flanders - Baloise,19
1243,GALIMBERTI Lorenzo,Swatt Club,19
1244,ŘEHA Filip,ATT Investments,19
1245,PIRA Yesid Albeiro,Hino One La Red Suzuki,19
1246,SANLAVILLE Mathias,CIC Pro Cycling Academy,19
1247,LI Yuheng,China Anta - Mentech Cycling Team,19
1248,ROGERS Cameron,INEOS Grenadiers Racing Academy,19
1249,TVEDT Ulrik,Development Team Picnic PostNL,19
1250,DUNHAM Ethan,APS Pro Cycling by Team Cadence Cyclery,19
1251,DORUSSEN Johan,Metec - SOLARWATT p/b Mantel,19
1252,DE CEUSTER Milan,Development Team Picnic PostNL,19
1253,MORGAN Edward,CC Villeneuve Saint Germain,19
1254,MERLÖV Ville,BHS - PL Beton Bornholm,19
1255,DELGADO Ricardo,,19
1256,SOLEN Keije,Lotto - Groupe Wanty,19
1257,LIM Jongwon,LX Cycling Team,19
1258,FRISON Frederik,Pinarello Q36.5 Pro Cycling Team,18
1259,GIBBONS Ryan,Fly Cool Collective,18
1260,KLARIS Magnus Bak,AIRTOX - Carl Ras,18
1261,PAREDES Anderson Timoteo,,18
1262,WIRTGEN Luc,Tudor Pro Cycling Team,18
1263,MUÑOZ Cristian Camilo,,18
1264,MEREDITH Charlie,,18
1265,LÓPEZ Robinson Fabián,,18
1266,CAPRON Rémi,Van Rysel Roubaix,18
1267,ĐURIĆ Đorđe,Solution Tech NIPPO Rali,18
1268,CANTONI Andrea,Mg.K Vis Costruzioni e Ambiente,18
1269,ESPINOSA Bolivar,,18
1270,HOOGENDOORN Roy,Metec - SOLARWATT p/b Mantel,18
1271,ROUFFAER Lars,EEW-VDK Cyclingteam,18
1272,ZACHAR Sebastian Bruno,,18
1273,BELLETTA Dario Igor,Team Polti VisitMalta,18
1274,DUBA Maxime,Parkhotel Valkenburg,18
1275,VAN BYLEN Liam,Decathlon CMA CGM Development Team,18
1276,LEIDERT Louis,Lidl - Trek Future Racing,18
1277,ZABELINSKIY Bogdan,,18
1278,LIM Nash,Factor Racing,18
1279,THALMANN Roland,Tudor Pro Cycling Team,17
1280,FREYER Martin,,17
1281,BUSTAMANTE Adrián,GI Group Holding - Simoldes - UDO,17
1282,HERREGODTS Rune,UAE Team Emirates - XRG,17
1283,PHONASA Thavone,,17
1284,MANSOURI Hamza,,17
1285,FORSSELL Hugo,,17
1286,STEWART Campbell,,17
1287,GIL Angel Alexander,GW Erco SportFitness,17
1288,MOHD ZARIFF Muhammad Nur Aiman,Terengganu Cycling Team,17
1289,MAHLANGU Thokozani,Tshenolo Pro Cycling Team,17
1290,TOSCANO Bill Janz,,17
1291,MIAO Chengshuo,Camp Cycling Team,17
1292,PETTITI Nicolò,Swatt Club,17
1293,GARCÍA José María,Illes Balears Arabay,17
1294,ANTROBUS Lucky,,17
1295,JÓNSSON Davíð,Team Cranks,17
1296,SVRČEK Martin,Soudal Quick-Step,17
1297,RENARD-HAQUIN Henri-François,Team Picnic PostNL,17
1298,VILORIA Enmanuel David,,17
1299,HEFFERNAN William,CCACHE x BODYWRAP,17
1300,TUYIZERE Etienne,,17
1301,MEMEDI Memet,,17
1302,BLEDDYN Oliver,Team Brennan,17
1303,RAKAOTA Khotsofalang,,17
1304,BÁRÐARSON Þorsteinn,,17
1305,FRANCISCO Jude Gabriel,Victoria Sports Pro Cycling,17
1306,SMITH Calvin,,17
1307,JONES Barry,,17
1308,PERON Andrea,Team Novo Nordisk,16
1309,SBARAGLI Kristian,,16
1310,RIVEROS Francisco Daniel,,16
1311,EL KOURAJI Mohcine,,16
1312,PERSICO Davide,MBH Bank CSB Telecom Fort,16
1313,BONNET Thomas,TotalEnergies,16
1314,TAILLANDIER Axel,,16
1315,SCHULTZ Elliot,Victoire Hiroshima,16
1316,LÓPEZ Luis Fernando Enrique,,16
1317,MARTIN David,,16
1318,GARCIA Erlin Antonio,,16
1319,ROTA Raúl,Illes Balears Arabay,16
1320,ARRIOLABENGOA Julen,Caja Rural - Seguros RGA,16
1321,MAGLI Lorenzo,Team Hopplà,16
1322,POLLEFLIET Gianluca,Decathlon CMA CGM Team,16
1323,MACKIE Ewan,,16
1324,ŠTAJNAR Mihael,,16
1325,DRAKOS Nikolaos Michail,Team United Shipping,16
1326,RETEGI Mikel,Equipo Kern Pharma,16
1327,SVARRE Tobias,Uno-X Mobility,16
1328,CRAUSE Pedri,,16
1329,ZIPPAN Nicolas,,16
1330,BUCK JONES Huw,Bourg-en-Bresse Ain Cyclisme,16
1331,SAENTA Tanawat,Roojai Insurance Winspace,16
1332,KÜÜT Oskar,Quick Pro Team,16
1333,MÄEUIBO Markus,Charvieu Chavagneux Isère Cyclisme,16
1334,CHOFOR Fabrice,,16
1335,FAYOLLE Jean-Loup,CIC Pro Cycling Academy,16
1336,NESPOLI Lorenzo,MBH Bank CSB Telecom Fort,16
1337,TISSIÈRES Arnaud,Elite Fondations Cycling Team,16
1338,SHUMBA Rodrick,,16
1339,ZOMERMAAND Jurgen,Development Team Picnic PostNL,16
1340,VAN GILS Lucas,Lotto - Groupe Wanty,16
1341,CHRISTOPHER Darel,,15
1342,PETROVSKI Stefan,,15
1343,CHOE Hyeong Min,,15
1344,BRIDGES Jyme,,15
1345,MARSH Robert,,15
1346,RUIZ Juan José,,15
1347,FRAILE Omar,,15
1348,SCHWARZMANN Michael,,15
1349,DECLERCQ Tim,,15
1350,PETIT Adrien,,15
1351,GRELLIER Fabien,TotalEnergies,15
1352,MOW Ching Yin,HKSI Pro Cycling Team,15
1353,KOBAYASHI Marino,,15
1354,ARIYAN Behnam,,15
1355,JOHN Naveen,,15
1356,SÁNCHEZ Brayan,Team Medellín - EPM,15
1357,DIMA Emil,,15
1358,HORVAT Robert,,15
1359,GONZALES Freddy,,15
1360,RUDYK Bartosz,,15
1361,KANEKO Sohei,,15
1362,ERIKSSON Jacob,Tudor Pro Cycling Team,15
1363,HOLLMANN Juri,,15
1364,VANDEBOSCH Toon,,15
1365,STOJNIĆ Veljko,Team United Shipping,15
1366,MATTHEWS Daniyal,,15
1367,RODRÍGUEZ Óscar,INEOS Grenadiers,15
1368,HVIDEBERG Jonas Hem,Uno-X Mobility,15
1369,GAZE Samuel,,15
1370,SMIRNOV Ivan,,15
1371,VANDEPUTTE Niels,Alpecin-Premier Tech Development Team,15
1372,KELEMEN Petr,Tudor Pro Cycling Team,15
1373,PARRAVANO Francesco,Mg.K Vis Costruzioni e Ambiente,15
1374,MAKOGON Vladyslav,,15
1375,LARSEN Trond,,15
1376,TORRES Edgar Geovanny,Hino One La Red Suzuki,15
1377,APPEL Stijn,BEAT Cycling Club,15
1378,ÓMARSSON Ingvar,,15
1379,SOULAMA Daouda,,15
1380,KUERE NOUNAWE Rodrigue Eric,,15
1381,TESTORI Michael,,15
1382,RUIZ Robinson Steven,,15
1383,LAZKANO Oier,,15
1384,NKUNDABERA Eric,,15
1385,ABREHA Negasi Haylu,Vega - Vitalcare - Dynatek,15
1386,KINGSTON Matthew,Mg.K Vis Costruzioni e Ambiente,15
1387,WAFLER Tim,,15
1388,WINKLER Oskar Ulrik,STARK - Peter Ellegaard Track Team powered by SANA,15
1389,LIM Zhen Yu Darren,,15
1390,MARTE Jesus Roniel,,15
1391,OBANDO Bryan Raul,GW Erco SportFitness,15
1392,ZAPATA CORDOBA Gregory Santiago,Team Winston Salem - Flow,15
1393,SCHMITZ Campo,,15
1394,UZUN Emir,,15
1395,MOLDANSKY Gerhard-Cristin,MENtoRISE Teem CCN,15
1396,XUE Ming,Li Ning Star,15
1397,PALZER Anton,,15
1398,ACUÑA Carlos Sebastian,,15
1399,FAURE PROST Alexy,Team Picnic PostNL,15
1400,BAKSAAS Morthen Wang,Lucky Sport Cycling Team,15
1401,BRÉANT Romain,AC Bisontine,15
1402,SISIMITH Eli Alejandro,,15
1403,PALASHEV Borislav,,15
1404,JELE Kwanele,,15
1405,BARON Kohath,,15
1406,GIMENO Nil,Equipo Kern Pharma,15
1407,TAKHIROV Diyor,,15
1408,ALSABBAGH Mohammad,,15
1409,BLAS Blayde,EuroCyclingTrips - CCN,15
1410,AVILA Freddy Alejandro,,15
1411,SIERRA Juan David,Tudor Pro Cycling Team U23,15
1412,ANTONENKO Heorhii,Energus Cycling Team,15
1413,CELESTIN Torea,,15
1414,NASTEVSKI Slobodan,,15
1415,GONÇALVES Hosana,,15
1416,BROOKES Joseph,,15
1417,SINGH Vishavjeet,,15
1418,SAVEKIN Ilya,,15
1419,VAN HERK Bram,,15
1420,BODDEN Christopher,,15
1421,RAUF Abdul Rauf Ahmed Abdul,,15
1422,HAILEMARYAM Gereziher Geremedhin,,15
1423,SHAPILOV Artem,Lokomotiv Manas,15
1424,MCFARLANE Melvin,,15
1425,DENSLOW Matthew,,15
1426,DE OLIVEIRA Cainã Guimarães,,15
1427,MASUDA Nariyuki,Astemo Utsunomiya Blitzen,14
1428,GÁLVIZ Carlos Johan,,14
1429,ROSTOVTSEV Sergey,Bardiani CSF 7 Saber,14
1430,PHONARJTHAN Patompob,Roojai Insurance Winspace,14
1431,BASEGGIO Matteo,,14
1432,RAUGEL Antoine,Van Rysel Roubaix,14
1433,GIANNOUTSOS Miltiadis,,14
1434,ALBA Juan Diego,,14
1435,CARR Simon,Cofidis,14
1436,GELEIJN Owen,Unibet Rose Rockets,14
1437,GINESTRA Lorenzo,Swatt Club,14
1438,ŽUMER Matic,,14
1439,VANDENBRANDEN Noah,Team Flanders - Baloise,14
1440,BORRESCH Julian,REMBE | rad-net,14
1441,LARSSON David,,14
1442,MAŚLAK Piotr,Voster Team,14
1443,YMERI Albion,,14
1444,ROMERO Jorge,,14
1445,LAZAREVIĆ Miloš,,14
1446,ALIYEV Ruslan,,14
1447,GOMEZ Camilo Andres,GW Erco SportFitness,14
1448,GONÇALVES Diogo,Efapel Cycling,14
1449,VAN DEN BOER Seppe,Tudor Pro Cycling Team U23,14
1450,LOROT Lawrence,,14
1451,DOLJANIN Roko,,14
1452,TALIĆ Kadija,,14
1453,AL MAYYAS Mohammad,,14
1454,SILVA Joaquim,Efapel Cycling,13
1455,BERHANE Natnael,Istanbul Team,13
1456,GOGL Michael,Alpecin-Premier Tech,13
1457,VAN ROOY Kenneth,,13
1458,VILLALOBOS Rodolfo,,13
1459,SAIDI Nassim,,13
1460,VIVIANI Attilio,Solution Tech NIPPO Rali,13
1461,TOUDAL Emil,Team Cranks,13
1462,CAMPOS Francisco,APHotels & Resorts / Tavira / SC Farense,13
1463,CONTTE Tomas,Aviludo - Louletano - Loulé,13
1464,CASTAÑO Sebastián Alexander,Team Sistecredito,13
1465,VERBURG Luke,Parkhotel Valkenburg,13
1466,DABSKI Patryk,Mazowsze Serce Polski,13
1467,BOCHAROV Dmitriy,,13
1468,MATTIO Pietro,Team Visma | Lease a Bike,13
1469,BIEHL Kevin,General Store - Essegibi - F.Lli Curia,13
1470,VAN ZANDEN Otto,Parkhotel Valkenburg,13
1471,AVONDTS Mathis,Parkhotel Valkenburg,13
1472,HICKS Dylan,UN Cycling Team x Pyörävarikko,13
1473,DELLE VEDOVE Alessio,XDS Astana Development Team,13
1474,NGUEGUIM Steve Auriol,,13
1475,KAMBERAJ Valentino,Team Skyline,13
1476,JU Jinyang,,13
1477,FIETZKE Paul,Red Bull - BORA - hansgrohe Rookies,13
1478,WRIGHT Owen,Canel's - Java,13
1479,WU Chun Yin,HKSI Pro Cycling Team,13
1480,CEROVIĆ Goran,,12
1481,MATUTE Fredd,,12
1482,FRAYRE Eder,,12
1483,SALEH Mohd Harrif,,12
1484,YAMAMOTO Genki,Kinan Racing Team,12
1485,MAŁECKI Kamil,Pinarello Q36.5 Pro Cycling Team,12
1486,HÄNNINEN Jaakko,Nice Métropole Côte d'Azur,12
1487,BOLOR-ERDENE Enkhtaivan,Huansheng - Vonoa - Taishan Sport Team,12
1488,HUERA Richard,Movistar Best PC,12
1489,MANIZABAYO Eric,,12
1490,MIFSUD Andrea,Team Polti VisitMalta,12
1491,TABELLION Valentin,AVC Aix Provence Dole,12
1492,HUYET Baptiste,BIKE AID,12
1493,VANGHELUWE Warre,Soudal Quick-Step,12
1494,LI Ting Wei,Roojai Insurance Winspace,12
1495,TENDON Arnaud,Van Rysel Roubaix,12
1496,PALOMBA Marco,S.C. Padovani Polo Cherry Bank,12
1497,DIVNIĆ Jovan,,12
1498,PLAMONDON Joel,Charvieu Chavagneux Isère Cyclisme,12
1499,LITLERE Sverre,Run & Race - Solarpur,12
1500,LOZANO Juan Pedro,Terengganu Cycling Team,12
1501,JEAN Victor,Elite Fondations Cycling Team,12
1502,MONGES Jonathan Daniel,,12
1503,LANGE Tyler,,12
1504,VAN NIEKERK Emile,Tshenolo Pro Cycling Team,12
1505,EUGENIO Yonathan Miguel,,12
1506,MÜLLER Jonas,,12
1507,GOYO Jesus Miguel,Fina Arroz CES Multimarcas Bancamiga,12
1508,PRIETO José Antonio,Petrolike,12
1509,VARGAS Dixon,,12
1510,PUTZ Sebastian,Red Bull - BORA - hansgrohe Rookies,12
1511,GAUTHIER Jérôme,Project Echelon Racing,12
1512,AMBROSINI Matteo,MBH Bank CSB Telecom Fort,12
1513,FOUCHER Esteban,Groupama-FDJ United CT,12
1514,CATTANI Alessandro,Team Technipes #inEmiliaRomagna Caffè Borbone,12
1515,DONAIRE Alexander Jhunior,,12
1516,YAMEOGO Saturnin,,12
1517,BEULKER Justus,,12
1518,LOPES Rúben,,12
1519,VALJAVEC Erazem,Soudal Quick-Step Devo Team,12
1520,TAKÁCS Zsombor Tamás,MBH Bank CSB Telecom Fort,12
1521,KASTRATI Albion,,12
1522,FANTINI Christian,Solme - Olmo,12
1523,FAROOQ Umar,,12
1524,ALREJJAL Mo'men,,12
1525,BATMUNKH Maral-Erdene,Roojai Insurance Winspace,11
1526,MANCEBO Francisco,Pingtan International Tourism Island Cycling Team,11
1527,HUPPERTZ Joshua,Team Lotto Kern-Haus Outlet Montabaur,11
1528,FISCHER Robin,,11
1529,MONTERROSO Dorian,Hino One La Red Suzuki,11
1530,LECROQ Jérémy,St Michel - Preference Home - Auber93,11
1531,MEO Felix James,Solution Tech NIPPO Rali,11
1532,GERVAIS Laurent,Project Echelon Racing,11
1533,ABDUL HALIL Mohamad Izzat Hilmi,,11
1534,VARELA Leandro,,11
1535,RAHIL Zouhair,Sidi Ali - Unlock Sports Team,11
1536,HARO Wilson Steven,,11
1537,STITES Tyler,Modern Adventure Pro Cycling,11
1538,AGROTIS Alexandros,,11
1539,MARUKHIN Daniil,,11
1540,WOOD Harrison,Feirense - Beeceler,11
1541,NGWATA Boniface Simon,,11
1542,AUTRAN José Eduardo,,11
1543,LEAL Tiago,Efapel Cycling,11
1544,GUDNITZ Joshua,Team ColoQuick,11
1545,PAREJA Nichol Blanca,Victoria Sports Pro Cycling,11
1546,FERNÁNDEZ Sinuhé,Burgos Burpellet BH,11
1547,RAMÍREZ Joseph Gerardo,,11
1548,SUTTON Louis,Euskaltel - Euskadi,11
1549,JØRGENSEN Mads Schulz,BHS - PL Beton Bornholm,11
1550,WALTON Jonas,CIC Pro Cycling Academy,11
1551,BERHANE Hebron,,11
1552,CALDERÓN Sebastian,,11
1553,GRISEL Matys,Lotto Intermarché,11
1554,MENSAH Ezer,,11
1555,STELLA Davide,UAE Team Emirates Gen Z,11
1556,NEAVES Jadian,,11
1557,MAESTRE Winston,Caja Rural - Alea,11
1558,GUDIŠKIS Eimantas,,10
1559,EARLE Nathan,,10
1560,CISSÉ Isiaka,,10
1561,PUCCIO Salvatore,,10
1562,FROOME Chris,,10
1563,TESHOME HAGOS Meron,,10
1564,NOVOA Leonidas Sebastián,,10
1565,CARTHY Hugh,,10
1566,KRUGER Casper,,10
1567,GARAVAGLIA Giacomo,Swatt Club,10
1568,WILLIAMS Stephen,NSN Cycling Team,10
1569,GOEMAN Jonas,K.O.F.M. x Thielemans - Bildin - Van Eyck Sport Cycling Team,10
1570,JURADO Christofer Robín,,10
1571,LIU Jiankun,,10
1572,WELTEN Bram,Team Picnic PostNL,10
1573,WAIS Ahmad Badreddin,,10
1574,PINTO Luis,,10
1575,DIARRA Siriki,,10
1576,VASQUEZ Adolfo,Hino One La Red Suzuki,10
1577,MUZI Shabangu,,10
1578,QUIROZ Oscar,,10
1579,PAPANOV Martin,,10
1580,SILLANKORVA Jaakko,UN Cycling Team x Pyörävarikko,10
1581,JOHN Briton,,10
1582,DAUMONT Paul,Convergence SC Abymienne Propreté 2000,10
1583,MAHER Habouriya,,10
1584,GERITS Vince,Baloise Verzekeringen - Het Poetsbureau Lions,10
1585,VAN DE WYNKELE Lorenz,Lotto - Groupe Wanty,10
1586,POLANCO Steven,,10
1587,CHIQUITO Wagner,,10
1588,SOWOU Rémi,,10
1589,PINTO Pedro,Efapel Cycling,10
1590,LUCERO Jericho,Go For Gold Philippines,10
1591,VAN BELLE Loe,Team Visma | Lease a Bike,10
1592,MULAGALEYEV Vladimir,,10
1593,MEDEIROS João,Credibom / LA Alumínios / Marcos Car,10
1594,WYSEURE Joran,Alpecin-Premier Tech Development Team,10
1595,NDUNGU Edwin,,10
1596,CHAVES Jhonatan Stiven,,10
1597,REMKHE Andrey,,10
1598,IACOMONI Federico,Team UKYO,10
1599,VAN BEKKUM Darren,XDS Astana Team,10
1600,BIAGINI Federico,,10
1601,GEERAERTS Ferre,Team Flanders - Baloise,10
1602,KIM Jinwoong,,10
1603,BROWNING Fergus,Terengganu Cycling Team,10
1604,SHARIF Hassan Adinan,,10
1605,SSEKANWAGI Jordan Schleck,,10
1606,OINGERANG Edward,EuroCyclingTrips - CCN,10
1607,GRENAAE Alfred,General Store - Essegibi - F.Lli Curia,10
1608,CASTILLO Kevin David,Orgullo Paisa,10
1609,MENGHINI Alessio,Team Technipes #inEmiliaRomagna Caffè Borbone,10
1610,DHONDT Robbe,Team Picnic PostNL,10
1611,MÜNZER Jan,MaxSolar - Raymon,10
1612,ALSABBAGH Ali Humaid,,10
1613,BUTA Catalin,MENtoRISE Teem CCN,10
1614,TONG Khoon Fung Thomas,,10
1615,MEDWAY Jackson,Tudor Pro Cycling Team U23,10
1616,GOLLIKER Joshua,EF Education - Aevolo,10
1617,JØLVING Otto Schultz,Team ColoQuick,10
1618,DELGADO David,,10
1619,DIALLO Diantouba,,10
1620,BOYLE Evan,Team Winston Salem - Flow,10
1621,NGENDAHAYO Jeremie,,10
1622,SCHEMBRI Jacob,,10
1623,HYSA Henri,Cyklotym Havířov - Tirana,10
1624,ASCOTT George,,10
1625,SUPAN Aphisit,Thailand Continental Cycling Team,10
1626,GARCIA Estiven,Team Sistecredito,10
1627,NAVAS Kevin,Movistar Best PC,10
1628,CARCAMO Diego,,10
1629,VATAN Amir Hossein,,10
1630,HOVORUN Mykola,,10
1631,CHEANG Shing Hei,,10
