Rank,Rider,Team,Points,nota
264,RIKUNOV Petr,Wheeltop Rotor Chengdu Team,243,8.77
265,BOL Cees,Decathlon CMA CGM Team,242,8.77
266,DENZ Nico,Red Bull - BORA - hansgrohe,241,8.76
267,MONIQUET Sylvain,Cofidis,241,8.76
268,ROCHAS Rémy,Groupama - FDJ United,240,8.75
269,KONRAD Patrick,Lidl - Trek,239,8.74
270,GEOGHEGAN HART Tao,Lidl - Trek,238,8.74
271,CRAS Steff,Soudal Quick-Step,238,8.73
272,CAMPENAERTS Victor,Team Visma | Lease a Bike,237,8.73
273,FANCELLU Alessandro,MBH Bank CSB Telecom Fort,237,8.72
274,BARGUIL Warren,Team Picnic PostNL,235,8.71
275,MÜHLBERGER Gregor,Decathlon CMA CGM Team,235,8.71
276,LATOUR Pierre,,234,8.7
277,PITHIE Laurence,Red Bull - BORA - hansgrohe,234,8.7
278,WIDAR Jarno,Lotto Intermarché,234,8.69
279,VERMAERKE Kevin,UAE Team Emirates - XRG,233,8.68
280,VERCHER Mattéo,TotalEnergies,233,8.68
281,GAUTHERAT Pierre,Decathlon CMA CGM Team,231,8.67
282,EULÁLIO Afonso,Bahrain - Victorious,230,8.67
283,MOLENAAR Alex,Caja Rural - Seguros RGA,229,8.66
284,BISIAUX Léo,Decathlon CMA CGM Team,229,8.66
285,FOLDAGER Anders,Team Jayco AlUla,228,8.65
286,MAIRE Adrien,Unibet Rose Rockets,228,8.64
287,PEÑALVER Manuel,Team Polti VisitMalta,227,8.64
288,KOGUT Oded,NSN Cycling Team,227,8.63
289,ACKERMANN Pascal,Team Jayco AlUla,226,8.63
290,BARDET Romain,,224,8.62
291,MILESI Lorenzo,Movistar Team,224,8.61
292,LÓPEZ Juan Pedro,Movistar Team,223,8.61
293,HERRADA Jesús,Burgos Burpellet BH,222,8.6
294,DONOVAN Mark,Pinarello Q36.5 Pro Cycling Team,222,8.6
295,KWIATKOWSKI Michał,INEOS Grenadiers,221,8.59
296,GLOAG Thomas,Pinarello Q36.5 Pro Cycling Team,221,8.58
297,SVESTAD-BÅRDSENG Embret,INEOS Grenadiers,220,8.58
298,STAUNE-MITTET Johannes,Decathlon CMA CGM Team,220,8.57
299,PEÑA Jesús David,Efapel Cycling,218,8.57
300,RYAN Archie,EF Education - EasyPost,217,8.56
301,CARBONI Giovanni,,215,8.56
302,FINN Lorenzo,Red Bull - BORA - hansgrohe Rookies,212,8.55
303,BUCHMANN Emanuel,Cofidis,211,8.54
304,MOLLEMA Bauke,Lidl - Trek,211,8.54
305,VLASOV Aleksandr,Red Bull - BORA - hansgrohe,210,8.53
306,DEHAIRS Simon,Alpecin-Premier Tech,210,8.53
307,HALLER Marco,Tudor Pro Cycling Team,209,8.52
308,VAN MOER Brent,Pinarello Q36.5 Pro Cycling Team,208,8.51
309,LAAS Martin,,207,8.51
310,PARRA José Félix,Caja Rural - Seguros RGA,207,8.5
311,HOWSON Damien,Pinarello Q36.5 Pro Cycling Team,206,8.5
312,BREGNHØJ Mathias,Terengganu Cycling Team,206,8.49
313,MEINTJES Louis,,205,8.49
314,THIJSSEN Gerben,Alpecin-Premier Tech,205,8.48
315,THEUNS Edward,Lidl - Trek,204,8.47
316,FORMOLO Davide,Movistar Team,201,8.47
317,TAARAMÄE Rein,Kinan Racing Team,201,8.46
318,BREUILLARD Nicolas,TotalEnergies,201,8.46
319,CHARMIG Anthon,Uno-X Mobility,200,8.45
320,CAVIA Daniel,Burgos Burpellet BH,199,8.44
321,PINARELLO Alessandro,NSN Cycling Team,198,8.44
322,DUNBAR Eddie,Pinarello Q36.5 Pro Cycling Team,197,8.43
323,CHUMIL Sergio Geovani,Burgos Burpellet BH,197,8.43
324,OMRZEL Jakob,Bahrain - Victorious,195,8.42
325,VAN UDEN Casper,Team Picnic PostNL,193,8.41
326,NERURKAR Lukas,EF Education - EasyPost,193,8.41
327,CASTELLON Jan,Caja Rural - Seguros RGA,191,8.4
328,EIKING Odd Christian,Unibet Rose Rockets,190,8.4
329,ZANONCELLO Enrico,Bardiani CSF 7 Saber,190,8.39
330,MAGLI Filippo,Bardiani CSF 7 Saber,190,8.39
331,BRENNER Marco,Tudor Pro Cycling Team,190,8.38
332,PELLAUD Simon,Li Ning Star,189,8.37
333,CAPIOT Amaury,Team Jayco AlUla,188,8.37
334,DOUBEY Fabien,TotalEnergies,188,8.36
335,BUSATTO Francesco,Alpecin-Premier Tech,188,8.36
336,KELDERMAN Wilco,Team Visma | Lease a Bike,187,8.35
337,LIVYNS Arjen,XDS Astana Team,187,8.34
338,GALVÁN Francisco,,187,8.34
339,BENNETT Sam,Pinarello Q36.5 Pro Cycling Team,186,8.33
340,BOGUSŁAWSKI Marceli,ATT Investments,186,8.33
341,LOOCKX Lander,Unibet Rose Rockets,185,8.32
342,FOSS Tobias,INEOS Grenadiers,184,8.31
343,CATTANEO Mattia,Red Bull - BORA - hansgrohe,182,8.31
344,VAN BOVEN Luca,Lotto Intermarché,182,8.3
345,LEMMEN Bart,Team Visma | Lease a Bike,180,8.3
346,EENKHOORN Pascal,Soudal Quick-Step,179,8.29
347,AFFINI Edoardo,Team Visma | Lease a Bike,178,8.29
348,ASGREEN Kasper,EF Education - EasyPost,178,8.28
349,HOPKINS Dylan,Roojai Insurance Winspace,178,8.27
350,RUTSCH Jonas,Lotto Intermarché,177,8.27
351,ZWIEHOFF Ben,Red Bull - BORA - hansgrohe,177,8.26
352,BARTA Will,Tudor Pro Cycling Team,176,8.26
353,NAESEN Oliver,Decathlon CMA CGM Team,175,8.25
354,COSTA Rui,,175,8.24
355,HAJEK Alexander,Red Bull - BORA - hansgrohe,175,8.24
356,ALEOTTI Giovanni,Red Bull - BORA - hansgrohe,174,8.23
357,RUSSO Clément,Groupama - FDJ United,173,8.23
358,HOLTER Ådne,Uno-X Mobility,172,8.22
359,KUDUS Merhawi,Burgos Burpellet BH,171,8.21
360,VAN HEMELEN Vincent,Team Flanders - Baloise,171,8.21
361,MOLARD Rudy,Groupama - FDJ United,170,8.2
362,CEPEDA Jefferson Alveiro,Movistar Team,170,8.2
363,CAICEDO Jonathan Klever,Petrolike,169,8.19
364,ROLLAND Brieuc,Groupama - FDJ United,169,8.19
365,ALLENO Clément,Burgos Burpellet BH,167,8.18
366,MAEKELE Milkias,INEOS Grenadiers Racing Academy,167,8.17
367,VERONA Carlos,Lidl - Trek,166,8.17
368,PAGE Hugo,Cofidis,166,8.16
369,KRAGH ANDERSEN Søren,Lidl - Trek,165,8.16
370,GAROFOLI Gianmarco,Soudal Quick-Step,165,8.15
371,SAFARZADEH Saeid,,164,8.14
372,KÄMNA Lennard,Lidl - Trek,164,8.14
373,KNIGHT Oliver,Cofidis,164,8.13
374,DE PRETTO Davide,Team Jayco AlUla,163,8.13
375,PLANCKAERT Edward,Alpecin-Premier Tech,162,8.12
376,ARASHIRO Yukiya,Solution Tech NIPPO Rali,161,8.12
377,GUERREIRO Ruben,,161,8.11
378,PITA Cristian David,Roojai Insurance Winspace,161,8.1
379,PEDERSEN Casper,Soudal Quick-Step,161,8.1
380,GENIETS Kevin,Groupama - FDJ United,161,8.09
381,MARTINEZ Juan Guillermo,Team Picnic PostNL,161,8.09
382,BERASATEGI Xabier,Euskaltel - Euskadi,160,8.08
383,MAYER Alexandre,Burgos Burpellet BH,159,8.07
384,VAN BAARLE Dylan,Soudal Quick-Step,158,8.07
385,ZINGLE Axel,Team Visma | Lease a Bike,158,8.06
386,VAN MECHELEN Vlad,Bahrain - Victorious,158,8.06
387,OLDANI Stefano,Caja Rural - Seguros RGA,157,8.05
388,VAN DIJKE Mick,Red Bull - BORA - hansgrohe,157,8.04
389,MARCELLUSI Martin,Bardiani CSF 7 Saber,157,8.04
390,SWIFT Ben,INEOS Grenadiers,156,8.03
391,RAILEANU Cristian,Li Ning Star,156,8.03
392,WOODS Michael,,156,8.02
393,HODEG Álvaro José,,156,8.02
394,ZIJLAARD Maikel,Tudor Pro Cycling Team,156,8.01
395,BONNEU Kamiel,Solution Tech NIPPO Rali,156,8.0
396,PLOWRIGHT Jensen,Alpecin-Premier Tech,156,8.0
397,RACCAGNI NOVIERO Andrea,Soudal Quick-Step,155,7.99
398,LYU Xianjing,,153,7.99
399,ARTZ Huub,Lotto Intermarché,153,7.98
400,BUDZIŃSKI Marcin,MBH Bank CSB Telecom Fort,152,7.97
401,LABROSSE Jordan,Decathlon CMA CGM Team,152,7.97
402,PEDERSEN Rasmus Søjberg,Decathlon CMA CGM Team,152,7.96
403,DE BOD Stefan,Modern Adventure Pro Cycling,151,7.96
404,LUTSENKO Alexey,NSN Cycling Team,150,7.95
405,VIVIANI Elia,,150,7.94
406,DE KLEIJN Arvid,Tudor Pro Cycling Team,150,7.94
407,SHAW James,EF Education - EasyPost,150,7.93
408,CRESCIOLI Ludovico,Team Polti VisitMalta,150,7.93
409,AGIRRE Jon,Euskaltel - Euskadi,149,7.92
410,IRIBAR Unai,Equipo Kern Pharma,149,7.92
411,NIZZOLO Giacomo,,148,7.91
412,BRAZ AFONSO Clément,Groupama - FDJ United,148,7.9
413,SCHIFFER Anton,Team Visma | Lease a Bike,148,7.9
414,CHAVES Esteban,,147,7.89
415,ARVANITOU Nikiforos,Team United Shipping,147,7.89
416,CHAWCHIANGKWANG Peerapol,Thailand Continental Cycling Team,146,7.88
417,LEITÃO Iúri,Caja Rural - Seguros RGA,146,7.87
418,TOLIO Alex,Bardiani CSF 7 Saber,146,7.87
419,DE GENDT Aimé,Pinarello Q36.5 Pro Cycling Team,144,7.86
420,MATTHEIS Oliver,BIKE AID,144,7.86
421,LOUVEL Matis,NSN Cycling Team,144,7.85
422,CONCI Nicola,XDS Astana Team,143,7.84
423,CÔTÉ Pier-André,NSN Cycling Team,142,7.84
424,LEROUX Samuel,TotalEnergies,141,7.83
425,BJERG Mikkel,UAE Team Emirates - XRG,141,7.83
426,TERCERO Fernando,Team Polti VisitMalta,141,7.82
427,EINHORN Itamar,NSN Cycling Team,140,7.82
428,DE LA CALLE Hugo,Burgos Burpellet BH,140,7.81
429,DECOMBLE Maxime,Groupama - FDJ United,140,7.8
430,VINOKUROV Nicolas,XDS Astana Team,139,7.8
431,KOERDT Bjorn,Team Picnic PostNL,139,7.79
432,VALTER Attila,Bahrain - Victorious,138,7.79
433,TJØTTA Martin,Uno-X Mobility,138,7.78
434,HATHERLY Alan,Team Jayco AlUla,137,7.77
435,ALLEGAERT Piet,Cofidis,136,7.77
436,BAIS Davide,Team Polti VisitMalta,136,7.76
437,BRAET Vito,Lotto Intermarché,136,7.76
438,GARIBBO Nicolò,Team UKYO,135,7.75
439,VAN DIJKE Tim,Red Bull - BORA - hansgrohe,135,7.75
440,HUENS Axel,Groupama - FDJ United,135,7.74
441,LAMPAERT Yves,Soudal Quick-Step,134,7.73
442,GUERNALEC Thibault,TotalEnergies,134,7.73
443,CAVAGNA Rémi,Groupama - FDJ United,133,7.72
444,NICOLAU Joel,Caja Rural - Seguros RGA,133,7.72
445,SPARFEL Aubin,Decathlon CMA CGM Development Team,133,7.71
446,PACHER Quentin,Groupama - FDJ United,132,7.7
447,SMITH Dion,NSN Cycling Team,132,7.7
448,MAESTRI Mirco,Team Polti VisitMalta,132,7.69
449,RASCH Jesper,China Anta - Mentech Cycling Team,132,7.69
450,JUARISTI Txomin,Euskaltel - Euskadi,132,7.68
451,UHLIG Henri,Alpecin-Premier Tech,132,7.67
452,GACHIGNARD Thomas,TotalEnergies,132,7.67
453,SAINBAYAR Jambaljamts,Burgos Burpellet BH,131,7.66
454,RIVERA Brandon Smith,INEOS Grenadiers,131,7.66
455,VAN DER TUUK Axel,Euskaltel - Euskadi,131,7.65
456,MARTÍ Pau,NSN Cycling Team,131,7.65
