Rank,Rider,Team,Points,nota
926,TIZZA Marco,,39,4.89
927,MARCHAND Gianni,Tarteletto - Isorex,39,4.88
928,BEULLENS Cedric,Lotto Intermarché,39,4.87
929,SILVA Pedro,Feira dos Sofás - Boavista,39,4.87
930,VERCOUILLIE Victor,Team Flanders - Baloise,39,4.86
931,LAMBRECHT Michiel,Team Flanders - Baloise,39,4.86
932,SAVINO Federico,Soudal Quick-Step Devo Team,39,4.85
933,MASENGESHO Vainqueur,,39,4.84
934,ROYAN Muhammad Andy,,39,4.84
935,CASTROVIEJO Jonathan,,38,4.83
936,KOCH Jonas,,38,4.83
937,OKA Atsushi,Astemo Utsunomiya Blitzen,38,4.82
938,KRON Andreas,Uno-X Mobility,38,4.82
939,CRETTI Luca,MBH Bank CSB Telecom Fort,38,4.81
940,KOCKELMANN Mathieu,Lotto Intermarché,38,4.8
941,PRINGLE Nate,Decathlon CMA CGM Development Team,38,4.8
942,WARLOP Jordi,,37,4.79
943,TAROZZI Manuele,Bardiani CSF 7 Saber,37,4.79
944,SU Haoyu,XDS Astana Team,37,4.78
945,RAMÍREZ Donovan,,37,4.77
946,INGEBRIGTSEN Storm,Uno-X Mobility,37,4.77
947,FOUGNER Eivind Broholt,Unibet Rose Rockets,37,4.76
948,MENDES Diego De Jesus,,37,4.76
949,TEUGELS Lennert,Tarteletto - Isorex,36,4.75
950,MORA Luis Guillermo,,36,4.74
951,RIES Michel,,36,4.74
952,PRONSKIY Vadim,Terengganu Cycling Team,36,4.73
953,VÁSQUEZ Juan Mardoqueo,Hino One La Red Suzuki,36,4.73
954,BUDZIŃSKI Tomasz,ATT Investments,36,4.72
955,RODRÍGUEZ Brandon Ulises,,36,4.72
956,BOICHIS Adrien,Red Bull - BORA - hansgrohe,36,4.71
957,PÉREZ Ciro,AVC Aix Provence Dole,36,4.7
958,CONTI Valerio,Solution Tech NIPPO Rali,35,4.7
959,BOUCHARD Geoffrey,TotalEnergies,35,4.69
960,JANSSENS Jimmy,,35,4.69
961,DYBALL Benjamin,FNIX - SCOM - Hengxiang Cycling Team,35,4.68
962,ROOSEN Timo,Team Picnic PostNL,35,4.67
963,VAN DER SANDE Tosh,,35,4.67
964,OURSELIN Paul,Cofidis,35,4.66
965,ROBEET Ludovic,Cofidis,35,4.66
966,BAX Sjoerd,Pinarello Q36.5 Pro Cycling Team,35,4.65
967,KERGOZOU DE LA BOESSIERE Nick,St George Continental Cycling Team,35,4.64
968,BLOEM Joren,Unibet Rose Rockets,35,4.64
969,MACKELLAR Alastair,EF Education - EasyPost,35,4.63
970,D'AMATO Andrea,Team UKYO,35,4.63
971,REMKHI Rudolf,MBB Continental Cycling Team,35,4.62
972,FOX Matthew,Lotto Intermarché,35,4.62
973,BOWER Lewis,Groupama - FDJ United,35,4.61
974,OSES Luis Daniel,,35,4.6
975,BOCK Max,Red Bull - BORA - hansgrohe Rookies,35,4.6
976,O'BRIEN Liam,Lidl - Trek Future Racing,35,4.59
977,KURITS Karl,Lucky Sport Cycling Team,35,4.59
978,DOMÍNGUEZ José Alberto,,35,4.58
979,ABREU Jorge,Fina Arroz CES Multimarcas Bancamiga,34,4.57
980,WILLIAMS Cory,L39ION of Los Angeles,34,4.57
981,SABBAHI El Houcaine,,34,4.56
982,LE HUITOUZE Eddy,,34,4.56
983,KAJAMINI Florian Samuel,XDS Astana Team,34,4.55
984,VAN HAUTEGEM Leander,Team Flanders - Baloise,34,4.54
985,DOMINGUEZ Carlos Vidal,,34,4.54
986,EEMAN Kamiel,Lotto - Groupe Wanty,34,4.53
987,DELLAI Mohamed Aziz,,34,4.53
988,PHẠM Lê Xuân Lộc,Quick Pro Team,34,4.52
989,VAN KERCKHOVE Matisse,Team Visma | Lease a Bike Development,34,4.52
990,ZOIDL Riccardo,Hrinkow Advarics,33,4.51
991,FUENTES Ángel,,33,4.5
992,PROĆ Bartłomiej,Wibatech Lubelskie Perła Polski,33,4.5
993,MILLER Alex,,33,4.49
994,POMORSKI Michał,ATT Investments,33,4.49
995,PRIETO José Juan,Petrolike,33,4.48
996,BRACALENTE Diego,MBH Bank CSB Telecom Fort,33,4.47
997,RAFFERTY Adam,Hagens Berman Jayco,33,4.47
998,BLAISE Arthur,,33,4.46
999,ROWE Elliot,Team Visma | Lease a Bike Development,33,4.46
1000,TONELLI Alessandro,Team Polti VisitMalta,32,4.45
1001,SÉNÉCHAL Florian,Alpecin-Premier Tech,32,4.45
1002,GOOSSENS Kobe,,32,4.44
1003,BATTISTELLA Samuele,EF Education - EasyPost,32,4.43
1004,VAN TRICHT Stan,Soudal Quick-Step Devo Team,32,4.43
1005,ASSAL Mohamed Nadjib,,32,4.42
1006,NIELSEN Sebastian,Team ColoQuick,32,4.42
1007,ETXEBERRIA Asier,,32,4.41
1008,WHITE Conor,Jakroo Handsling Racing,32,4.4
1009,ARDILA Andrés Camilo,,32,4.4
1010,DATI Tommaso,Team UKYO,32,4.39
1011,CZABOK Konrad,Voster Team,32,4.39
1012,DE COMARMOND Aurelien,,32,4.38
1013,LOPEZ Juan Carlos,,32,4.37
1014,GIDDINGS Joshua,Lotto Intermarché,32,4.37
1015,ROTTMANN Jonathan Malte,Team Lotto Kern-Haus Outlet Montabaur,32,4.36
1016,BRUTTOMESSO Alberto,Bahrain - Victorious,32,4.36
1017,AUGÉ Ronan,Unibet Rose Rockets,32,4.35
1018,MEEHAN Jamie,Cofidis,32,4.35
1019,MORALES Christopher,,32,4.34
1020,SORARRAIN Gorka,Caja Rural - Seguros RGA,32,4.33
1021,FU Enqi,,32,4.33
1022,BERNAS Paweł,Voster Team,31,4.32
1023,DE TIER Floris,,31,4.32
1024,FABBRO Matteo,Solution Tech NIPPO Rali,31,4.31
1025,LAU Wan Yau Vincent,Roojai Insurance Winspace,31,4.3
1026,VERHOEFF Stefan,Universe Cycling Team,31,4.3
1027,PEÑA Wilson Estiben,Team Sistecredito,31,4.29
1028,LOCK Dennis,,31,4.29
1029,KEE Zhe Yie,Terengganu Cycling Team,31,4.28
1030,RABOUDE Jeremy,,31,4.27
1031,ØRN-KRISTOFF Felix,Lotto Intermarché,31,4.27
1032,ROBERTS Reef,Groupama-FDJ United CT,31,4.26
1033,KARIĆ Vedad,,30,4.26
1034,BOUWMAN Koen,Team Jayco AlUla,30,4.25
1035,CIMOLAI Davide,,30,4.25
1036,KRUIJSWIJK Steven,Team Visma | Lease a Bike,30,4.24
1037,BASTIAENS Ayco,Soudal Quick-Step,30,4.23
1038,JARNET Maxime,Van Rysel Roubaix,30,4.23
1039,SCHELLING Ide,,30,4.22
1040,HUYS Laurens,Nice Métropole Côte d'Azur,30,4.22
1041,STEIMLE Jannik,,30,4.21
1042,BAILEY Zefal Trevor,,30,4.2
1043,GAZZOLI Michele,Solution Tech NIPPO Rali,30,4.2
1044,HEIDEMANN Miguel,REMBE | rad-net,30,4.19
1045,PIETROBON Andrea,Team Polti VisitMalta,30,4.19
1046,NUHA Blerton,,30,4.18
1047,PAQUOT Tom,,30,4.17
1048,TU Sergio,Astemo Utsunomiya Blitzen,30,4.17
1049,ALIYARI Aidin,Shenzhen Kung Cycling Team,30,4.16
1050,BONIFACE Lucas,Charvieu Chavagneux Isère Cyclisme,30,4.16
1051,KAGIMU Charles,,30,4.15
1052,ROOTKIN-GRAY Jack,,30,4.15
1053,POULARD Athit,Roojai Insurance Winspace,30,4.14
1054,BUTTIGIEG Aidan,Team Polti VisitMalta,30,4.13
1055,MAKATILE Kabelo,,30,4.13
1056,RADUNOVIĆ Aleksandar,,30,4.12
1057,JAWAID Ali,,30,4.12
1058,VEISTROFFER Baptiste,Lotto Intermarché,30,4.11
1059,KESSLER Bruno,Tudor Pro Cycling Team U23,30,4.1
1060,HAUG Kieran,Modern Adventure Pro Cycling,30,4.1
1061,DA CRUZ Nelio,,30,4.09
1062,AGRICOLA Danijel,Metec - SOLARWATT p/b Mantel,30,4.09
1063,VAN GESTEL Dries,Soudal Quick-Step,29,4.08
1064,SOUPE Geoffrey,,29,4.08
1065,BRUNNER Eric,Project Echelon Racing,29,4.07
1066,REYNDERS Jens,Qatar Pro Team,29,4.06
1067,ILIĆ Ognjen,Benotti Berthold,29,4.06
1068,REYES Yeison Sebastian,,29,4.05
1069,LÓPEZ DE ABETXUKO Andoni,Anicolor / Campicarn,29,4.05
1070,ISASA Xabier,Euskaltel - Euskadi,29,4.04
1071,BURNETT Josh,Burgos Burpellet BH,29,4.03
1072,MESA Santiago,Anicolor / Campicarn,29,4.03
1073,ESSABAHY Ibrahim,,29,4.02
1074,VERGAERDE Otto,Lidl - Trek,28,4.02
1075,BOGDANOVIČS Māris,FNIX - SCOM - Hengxiang Cycling Team,28,4.01
1076,ÖRKEN Ahmet,,28,4.0
1077,HENAO Sergio,,28,4.0
1078,GUÉGAN Maël,CIC Pro Cycling Academy,28,3.99
1079,KONIJN Alexander,Nice Métropole Côte d'Azur,28,3.99
1080,GEORGE Alfred,Elite Fondations Cycling Team,28,3.98
1081,MAHOUDO Nolann,VC Pays de Loudéac,28,3.98
1082,KESS Alexandre,Team Lotto Kern-Haus Outlet Montabaur,28,3.97
1083,AGOSTINACCHIO Filippo,Biesse - Carrera - Premac,28,3.96
1084,VAN DER MEULEN Max,Bahrain - Victorious,28,3.96
1085,AMBROSSI Facundo Nicolás,,28,3.95
1086,VELIA Olsian,,27,3.95
1087,CAHYADI Aiman,,27,3.94
1088,LUCCA Riccardo,,27,3.93
1089,ABAY Burak,Konya Büyükşehir Belediye Spor,27,3.93
1090,WEEMAES Sasha,,27,3.92
1091,MORIN Emmanuel,Team Adris-La Crêpe de Brocéliande-BLC,27,3.92
1092,DUARTE Emanuel,Credibom / LA Alumínios / Marcos Car,27,3.91
1093,SZÓSTKA Paweł,,27,3.9
1094,KIM Euro,LX Cycling Team,27,3.9
1095,IVANOV Timofei,Wheeltop Rotor Chengdu Team,27,3.89
1096,RASENBERG Martijn,Unibet Rose Rockets,27,3.89
1097,DINHAM Matthew,Team Picnic PostNL,27,3.88
1098,BÉNÉTEAU Lucas,St Michel - Preference Home - Auber93,27,3.88
1099,MUÑIZ José Ramón,Canel's - Java,27,3.87
1100,MEIN Thomas,,27,3.86
1101,GRYGOWSKI Hubert,Mazowsze Serce Polski,27,3.86
1102,JOCHUM Ben Felix,Team Lotto Kern-Haus Outlet Montabaur,27,3.85
1103,HAUGSTED Conrad,Team ColoQuick,27,3.85
1104,GARZÓN Óscar Santiago,,27,3.84
1105,BAKER Rowan,Jakroo Handsling Racing,27,3.83
1106,LE GAC Olivier,Groupama - FDJ United,26,3.83
1107,KERCKHAERT Jochem,BEAT Cycling Club,26,3.82
1108,PAJUR Markus,FNIX - SCOM - Hengxiang Cycling Team,26,3.82
1109,BULUT Samet,MBB Continental Cycling Team,26,3.81
1110,REEMEIJER Niels,Wielerploeg Groot Amsterdam,26,3.81
1111,LEDESMA Gerard,VC Fukuoka,26,3.8
1112,HIRT Jan,NSN Cycling Team,25,3.79
1113,GROSU Eduard-Michael,FNIX - SCOM - Hengxiang Cycling Team,25,3.79
1114,SERRY Pieter,,25,3.78
1115,LAENGEN Vegard Stake,UAE Team Emirates - XRG,25,3.78
1116,PELIKÁN János,Team United Shipping,25,3.77
1117,DÁRIO António,Equipa de Ciclismo Inter Clube,25,3.76
1118,SWIRBUL Keegan,Efapel Cycling,25,3.76
1119,DEBEAUMARCHÉ Nicolas,Cofidis,25,3.75
1120,DESAL Ceriel,Soudal Quick-Step Devo Team,25,3.75
1121,MARIS Elias,Team Flanders - Baloise,25,3.74
1122,STAMPE Daniel,BHS - PL Beton Bornholm,25,3.73
1123,KUYPERS Gerben,,25,3.73
1124,BORSTELMANN John,,25,3.72
1125,AGNOLETTO Blake,Groupama-FDJ United CT,25,3.72
1126,PICIU Mattew-Denis,,25,3.71
1127,ROJAS Brandon Alejandro,GW Erco SportFitness,25,3.71
1128,PEDERSEN Henrik,Uno-X Mobility,25,3.7
1129,TUCKWELL Luke,Red Bull - BORA - hansgrohe,25,3.69
1130,MÜLLER Tobias,Unibet Rose Rockets,25,3.69
1131,KOECH Silas,Team Lotto Kern-Haus Outlet Montabaur,25,3.68
1132,GONZALEZ Jyven,L39ION of Los Angeles,25,3.68
1133,JONKMANS Tom,Wielerploeg Groot Amsterdam,25,3.67
1134,ROJAS Vicente,Bardiani CSF 7 Saber,25,3.66
1135,MAROLT Jaka,Factor Racing,25,3.66
1136,GIRMAY Mewael,Istanbul Team,25,3.65
1137,STOYNEV Emil,,25,3.65
1138,RAMSAY Andrew,,25,3.64
1139,AZIZ Mohab Youssef,,25,3.63
1140,BOULET Eliott,Groupama-FDJ United CT,25,3.63
1141,MANDIN MEDINA Yunior Brayan,,25,3.62
1142,EEFTING-BLOEM Roy,,24,3.62
1143,JAKOBSEN Fabio,Team Picnic PostNL,24,3.61
1144,WIJFJE Tom,Universe Cycling Team,24,3.61
1145,CAMPBELL Akill,,24,3.6
1146,ED DOGHMY Achraf,Qatar Pro Team,24,3.59
1147,WALLENBORN Arno,Team Lotto Kern-Haus Outlet Montabaur,24,3.59
1148,LANDBO Mads,Team ColoQuick,24,3.58
1149,MILAN Matteo,Groupama - FDJ United,24,3.58
1150,GONZELI Otavio Augusto,,24,3.57
1151,HAUGLAND Kasper,Decathlon CMA CGM Development Team,24,3.56
1152,BORGO Alessandro,Bahrain - Victorious,24,3.56
1153,RODRIGUEZ Juan Felipe,EF Education - Aevolo,24,3.55
1154,BOMFIM DE ALMEIDA Luiz Fernando,,24,3.55
1155,GRANADOS Alejandro,Colono Bikestation Kölbi,24,3.54
1156,OYOLA Róbigzon Leandro,Team Medellín - EPM,23,3.53
1157,CARSTENSEN Lucas,Kinan Racing Team,23,3.53
1158,BUDDING Martijn,,23,3.52
1159,PAWLAK Tobiasz,ATT Investments,23,3.52
1160,BORTOLUZZI Giovanni,General Store - Essegibi - F.Lli Curia,23,3.51
1161,DONZÉ Robin,Tudor Pro Cycling Team,23,3.51
1162,CONFORTI Lorenzo,Bardiani CSF 7 Saber,23,3.5
1163,GUTIERREZ Carlos Alberto,,23,3.49
1164,PEACE Oliver,Team Picnic PostNL,23,3.49
1165,DE FABRITIIS Gabriele,Gragnano Sporting Club,23,3.48
1166,PATTINSON Tomos,EF Education - Aevolo,23,3.48
1167,ØXENBERG Peter,INEOS Grenadiers,23,3.47
1168,MÉNDEZ Diego Alejandro,,23,3.46
1169,KAM Chin Pok,China Anta - Mentech Cycling Team,23,3.46
1170,ABDURRAHMAN Muhammad,Jakarta Pro Cycling Team,22,3.45
1171,YEO Boon Kiak,,22,3.45
1172,NUNES Hugo,Credibom / LA Alumínios / Marcos Car,22,3.44
1173,EL ARBAOUI Adil,,22,3.44
1174,NGUYỄN Tuấn Vũ,,22,3.43
1175,RETAILLEAU Valentin,TotalEnergies,22,3.42
1176,IMAMURA Shunsuke,Lotto - Groupe Wanty,22,3.42
1177,GONZÁLEZ Abner,Illes Balears Arabay,22,3.41
1178,KLOPPENBORG Lukas Sulaj,,22,3.41
1179,MARTINELLI Alessio,Bardiani CSF 7 Saber,22,3.4
1180,ROSSI João Pedro,,22,3.39
1181,CLASSEN Caleb,Project Echelon Racing,22,3.39
1182,TAMM Lauri,Charvieu Chavagneux Isère Cyclisme,22,3.38
1183,PAJUR Romet,Red Bull - BORA - hansgrohe Rookies,22,3.38
1184,DODD Matthew,INEOS Grenadiers Racing Academy,22,3.37
1185,YILMAZ Ramazan,Konya Büyükşehir Belediye Spor,22,3.36
1186,TREPTE Liam,,22,3.36
1187,KUROEDA Shiki,,21,3.35
1188,RODAS Manuel,,21,3.35
1189,BONILLA Daniel Andres,,21,3.34
1190,VAN SINTMAARTENSDIJK Daan,BEAT Cycling Club,21,3.34
1191,MACLEOD Callum,,21,3.33
1192,CALZONI Walter,Pinarello Q36.5 Pro Cycling Team,21,3.32
1193,MOYATA Eduardo,Pío Rico Cycling Team,21,3.32
1194,OLIVER Ben,Modern Adventure Pro Cycling,21,3.31
1195,CHAVARRIA Derrick,China Chermin Cycling Team,21,3.31
1196,HOFBAUER Philipp,Team Vorarlberg,21,3.3
1197,RAWENDE Moucaila,,21,3.29
1198,ALUSTIZA Nicolás,Euskaltel - Euskadi,21,3.29
1199,MASCIARELLI Lorenzo,MBH Bank CSB Telecom Fort,21,3.28
1200,GOJKOVIĆ Nicolas,,21,3.28
1201,CHRISTIAN Sean,Modern Adventure Pro Cycling,21,3.27
1202,AGUILAR Luis,,21,3.26
1203,VEDEL Gabin,Convergence SC Abymienne Propreté 2000,21,3.26
1204,VANHUFFEL Matteo,Development Team Picnic PostNL,21,3.25
1205,MIENTKI Kacper,,21,3.25
1206,TORRES Albert,Movistar Team,20,3.24
1207,WOUTERS Rutger,K.O.F.M. x Thielemans - Bildin - Van Eyck Sport Cycling Team,20,3.24
1208,DE MARCHI Alessandro,,20,3.23
1209,ARCAS Jorge,Movistar Team,20,3.22
1210,STOCKMAN Abram,Unibet Rose Rockets,20,3.22
1211,WHITEHOUSE Daniel,St George Continental Cycling Team,20,3.21
1212,LEWIS Adam,APS Pro Cycling by Team Cadence Cyclery,20,3.21
1213,CONCA Filippo,Team Jayco AlUla,20,3.2
1214,FROIDEVAUX Robin,Tudor Pro Cycling Team,20,3.19
1215,OCAMPO Victor,Team Medellín - EPM,20,3.19
1216,BALMER Alexandre,Solution Tech NIPPO Rali,20,3.18
1217,KAŠKO Dávid,Dukla Banska Bystrica,20,3.18
1218,NG Pak Hang,HKSI Pro Cycling Team,20,3.17
1219,SANTY Arne,Tarteletto - Isorex,20,3.17
1220,HEMING Miká,ATT Investments,20,3.16
1221,VANDENSTORME Dylan,Team Flanders - Baloise,20,3.15
1222,DEMAN Brem,Team Flanders - Baloise,20,3.15
1223,DOLVEN Halvor,Lotto - Groupe Wanty,20,3.14
1224,FONSECA DA SILVA FREITAS Kacio,,20,3.14
1225,SMITHSON Jed,Hagens Berman Jayco,20,3.13
1226,CAPRA Thomas,Bahrain Victorious Development Team,20,3.12
1227,GIAIMI Luca,UAE Team Emirates Gen Z,20,3.12
1228,WATANABE Ikki,,20,3.11
1229,DUNWOODY Seth,Bahrain Victorious Development Team,20,3.11
1230,BEHRENS Niklas,Team Visma | Lease a Bike,20,3.1
1231,TRILLAT Jose,,20,3.09
1232,QUINTERO Juan Diego,Petrolike,20,3.09
1233,CARDIS Romain,St Michel - Preference Home - Auber93,19,3.08
1234,KUKRLE Michael,Kasper crypto4me,19,3.08
1235,NOLDE Tobias,Team Vorarlberg,19,3.07
1236,GERMOSO Rudy,,19,3.07
1237,RÖBER Dominik,Team Vorarlberg,19,3.06
1238,UGA Ryuki,Kinan Racing Team,19,3.05
1239,CHU Tsun Wai,HKSI Pro Cycling Team,19,3.05
1240,RODRÍGUEZ Diego Leonel,,19,3.04
1241,MUHOZA Eric,,19,3.04
1242,DEWEIRDT Siebe,Team Flanders - Baloise,19,3.03
1243,GALIMBERTI Lorenzo,Swatt Club,19,3.02
1244,ŘEHA Filip,ATT Investments,19,3.02
1245,PIRA Yesid Albeiro,Hino One La Red Suzuki,19,3.01
1246,SANLAVILLE Mathias,CIC Pro Cycling Academy,19,3.01
1247,LI Yuheng,China Anta - Mentech Cycling Team,19,3.0
1248,ROGERS Cameron,INEOS Grenadiers Racing Academy,19,2.99
1249,TVEDT Ulrik,Development Team Picnic PostNL,19,2.99
1250,DUNHAM Ethan,APS Pro Cycling by Team Cadence Cyclery,19,2.98
1251,DORUSSEN Johan,Metec - SOLARWATT p/b Mantel,19,2.98
1252,DE CEUSTER Milan,Development Team Picnic PostNL,19,2.97
1253,MORGAN Edward,CC Villeneuve Saint Germain,19,2.97
1254,MERLÖV Ville,BHS - PL Beton Bornholm,19,2.96
1255,DELGADO Ricardo,,19,2.95
1256,SOLEN Keije,Lotto - Groupe Wanty,19,2.95
1257,LIM Jongwon,LX Cycling Team,19,2.94
1258,FRISON Frederik,Pinarello Q36.5 Pro Cycling Team,18,2.94
1259,GIBBONS Ryan,Fly Cool Collective,18,2.93
1260,KLARIS Magnus Bak,AIRTOX - Carl Ras,18,2.92
1261,PAREDES Anderson Timoteo,,18,2.92
1262,WIRTGEN Luc,Tudor Pro Cycling Team,18,2.91
1263,MUÑOZ Cristian Camilo,,18,2.91
1264,MEREDITH Charlie,,18,2.9
1265,LÓPEZ Robinson Fabián,,18,2.89
1266,CAPRON Rémi,Van Rysel Roubaix,18,2.89
1267,ĐURIĆ Đorđe,Solution Tech NIPPO Rali,18,2.88
1268,CANTONI Andrea,Mg.K Vis Costruzioni e Ambiente,18,2.88
1269,ESPINOSA Bolivar,,18,2.87
1270,HOOGENDOORN Roy,Metec - SOLARWATT p/b Mantel,18,2.87
1271,ROUFFAER Lars,EEW-VDK Cyclingteam,18,2.86
1272,ZACHAR Sebastian Bruno,,18,2.85
1273,BELLETTA Dario Igor,Team Polti VisitMalta,18,2.85
1274,DUBA Maxime,Parkhotel Valkenburg,18,2.84
1275,VAN BYLEN Liam,Decathlon CMA CGM Development Team,18,2.84
1276,LEIDERT Louis,Lidl - Trek Future Racing,18,2.83
1277,ZABELINSKIY Bogdan,,18,2.82
1278,LIM Nash,Factor Racing,18,2.82
1279,THALMANN Roland,Tudor Pro Cycling Team,17,2.81
1280,FREYER Martin,,17,2.81
1281,BUSTAMANTE Adrián,GI Group Holding - Simoldes - UDO,17,2.8
1282,HERREGODTS Rune,UAE Team Emirates - XRG,17,2.8
1283,PHONASA Thavone,,17,2.79
1284,MANSOURI Hamza,,17,2.78
1285,FORSSELL Hugo,,17,2.78
1286,STEWART Campbell,,17,2.77
1287,GIL Angel Alexander,GW Erco SportFitness,17,2.77
1288,MOHD ZARIFF Muhammad Nur Aiman,Terengganu Cycling Team,17,2.76
1289,MAHLANGU Thokozani,Tshenolo Pro Cycling Team,17,2.75
1290,TOSCANO Bill Janz,,17,2.75
1291,MIAO Chengshuo,Camp Cycling Team,17,2.74
1292,PETTITI Nicolò,Swatt Club,17,2.74
1293,GARCÍA José María,Illes Balears Arabay,17,2.73
1294,ANTROBUS Lucky,,17,2.72
1295,JÓNSSON Davíð,Team Cranks,17,2.72
1296,SVRČEK Martin,Soudal Quick-Step,17,2.71
1297,RENARD-HAQUIN Henri-François,Team Picnic PostNL,17,2.71
1298,VILORIA Enmanuel David,,17,2.7
1299,HEFFERNAN William,CCACHE x BODYWRAP,17,2.7
1300,TUYIZERE Etienne,,17,2.69
1301,MEMEDI Memet,,17,2.68
1302,BLEDDYN Oliver,Team Brennan,17,2.68
1303,RAKAOTA Khotsofalang,,17,2.67
1304,BÁRÐARSON Þorsteinn,,17,2.67
1305,FRANCISCO Jude Gabriel,Victoria Sports Pro Cycling,17,2.66
1306,SMITH Calvin,,17,2.65
1307,JONES Barry,,17,2.65
1308,PERON Andrea,Team Novo Nordisk,16,2.64
1309,SBARAGLI Kristian,,16,2.64
1310,RIVEROS Francisco Daniel,,16,2.63
1311,EL KOURAJI Mohcine,,16,2.62
1312,PERSICO Davide,MBH Bank CSB Telecom Fort,16,2.62
1313,BONNET Thomas,TotalEnergies,16,2.61
1314,TAILLANDIER Axel,,16,2.61
1315,SCHULTZ Elliot,Victoire Hiroshima,16,2.6
1316,LÓPEZ Luis Fernando Enrique,,16,2.6
1317,MARTIN David,,16,2.59
1318,GARCIA Erlin Antonio,,16,2.58
1319,ROTA Raúl,Illes Balears Arabay,16,2.58
1320,ARRIOLABENGOA Julen,Caja Rural - Seguros RGA,16,2.57
1321,MAGLI Lorenzo,Team Hopplà,16,2.57
1322,POLLEFLIET Gianluca,Decathlon CMA CGM Team,16,2.56
1323,MACKIE Ewan,,16,2.55
1324,ŠTAJNAR Mihael,,16,2.55
1325,DRAKOS Nikolaos Michail,Team United Shipping,16,2.54
1326,RETEGI Mikel,Equipo Kern Pharma,16,2.54
1327,SVARRE Tobias,Uno-X Mobility,16,2.53
1328,CRAUSE Pedri,,16,2.52
1329,ZIPPAN Nicolas,,16,2.52
1330,BUCK JONES Huw,Bourg-en-Bresse Ain Cyclisme,16,2.51
1331,SAENTA Tanawat,Roojai Insurance Winspace,16,2.51
1332,KÜÜT Oskar,Quick Pro Team,16,2.5
1333,MÄEUIBO Markus,Charvieu Chavagneux Isère Cyclisme,16,2.5
1334,CHOFOR Fabrice,,16,2.49
1335,FAYOLLE Jean-Loup,CIC Pro Cycling Academy,16,2.48
1336,NESPOLI Lorenzo,MBH Bank CSB Telecom Fort,16,2.48
1337,TISSIÈRES Arnaud,Elite Fondations Cycling Team,16,2.47
1338,SHUMBA Rodrick,,16,2.47
1339,ZOMERMAAND Jurgen,Development Team Picnic PostNL,16,2.46
1340,VAN GILS Lucas,Lotto - Groupe Wanty,16,2.45
1341,CHRISTOPHER Darel,,15,2.45
1342,PETROVSKI Stefan,,15,2.44
1343,CHOE Hyeong Min,,15,2.44
1344,BRIDGES Jyme,,15,2.43
1345,MARSH Robert,,15,2.43
1346,RUIZ Juan José,,15,2.42
1347,FRAILE Omar,,15,2.41
1348,SCHWARZMANN Michael,,15,2.41
1349,DECLERCQ Tim,,15,2.4
1350,PETIT Adrien,,15,2.4
1351,GRELLIER Fabien,TotalEnergies,15,2.39
1352,MOW Ching Yin,HKSI Pro Cycling Team,15,2.38
1353,KOBAYASHI Marino,,15,2.38
1354,ARIYAN Behnam,,15,2.37
1355,JOHN Naveen,,15,2.37
1356,SÁNCHEZ Brayan,Team Medellín - EPM,15,2.36
1357,DIMA Emil,,15,2.35
1358,HORVAT Robert,,15,2.35
1359,GONZALES Freddy,,15,2.34
1360,RUDYK Bartosz,,15,2.34
1361,KANEKO Sohei,,15,2.33
1362,ERIKSSON Jacob,Tudor Pro Cycling Team,15,2.33
1363,HOLLMANN Juri,,15,2.32
1364,VANDEBOSCH Toon,,15,2.31
1365,STOJNIĆ Veljko,Team United Shipping,15,2.31
1366,MATTHEWS Daniyal,,15,2.3
1367,RODRÍGUEZ Óscar,INEOS Grenadiers,15,2.3
1368,HVIDEBERG Jonas Hem,Uno-X Mobility,15,2.29
1369,GAZE Samuel,,15,2.28
1370,SMIRNOV Ivan,,15,2.28
1371,VANDEPUTTE Niels,Alpecin-Premier Tech Development Team,15,2.27
1372,KELEMEN Petr,Tudor Pro Cycling Team,15,2.27
1373,PARRAVANO Francesco,Mg.K Vis Costruzioni e Ambiente,15,2.26
1374,MAKOGON Vladyslav,,15,2.25
1375,LARSEN Trond,,15,2.25
1376,TORRES Edgar Geovanny,Hino One La Red Suzuki,15,2.24
1377,APPEL Stijn,BEAT Cycling Club,15,2.24
1378,ÓMARSSON Ingvar,,15,2.23
1379,SOULAMA Daouda,,15,2.23
1380,KUERE NOUNAWE Rodrigue Eric,,15,2.22
1381,TESTORI Michael,,15,2.21
1382,RUIZ Robinson Steven,,15,2.21
1383,LAZKANO Oier,,15,2.2
1384,NKUNDABERA Eric,,15,2.2
1385,ABREHA Negasi Haylu,Vega - Vitalcare - Dynatek,15,2.19
1386,KINGSTON Matthew,Mg.K Vis Costruzioni e Ambiente,15,2.18
1387,WAFLER Tim,,15,2.18
1388,WINKLER Oskar Ulrik,STARK - Peter Ellegaard Track Team powered by SANA,15,2.17
1389,LIM Zhen Yu Darren,,15,2.17
1390,MARTE Jesus Roniel,,15,2.16
1391,OBANDO Bryan Raul,GW Erco SportFitness,15,2.16
1392,ZAPATA CORDOBA Gregory Santiago,Team Winston Salem - Flow,15,2.15
1393,SCHMITZ Campo,,15,2.14
1394,UZUN Emir,,15,2.14
1395,MOLDANSKY Gerhard-Cristin,MENtoRISE Teem CCN,15,2.13
1396,XUE Ming,Li Ning Star,15,2.13
1397,PALZER Anton,,15,2.12
1398,ACUÑA Carlos Sebastian,,15,2.11
1399,FAURE PROST Alexy,Team Picnic PostNL,15,2.11
