Date,Race,Winner,Class,nota,nota_recalibrada
15.02,Asian Continental Championships WE - Road Race,MANEEPHAN Jutatip,CC,,
15.02,Vuelta a la Región de Murcia ''Costa Cálida'',CHRISTEN Fabio,1.1,9.76,9.18
16.02,Asian Continental Championships ME - Road Race,LYU Xianjing,CC,7.99,3.16
16.02,Clasica de Almeria ME,FRETIN Milan,1.Pro,9.89,9.63
16.02,Figueira Champions Classic,MORGADO António,1.Pro,9.8,9.32
16.02,Clásica de Jaén Nation's Cup Women,BOOTHMAN Erin,1.Ncup,,
17.02 - 23.02,UAE Tour,POGAČAR Tadej,2.UWT,10.0,10.0
17.02,Clásica Jaén,KWIATKOWSKI Michał,1.1,8.59,5.2
19.02 - 23.02,Volta ao Algarve em Bicicleta,VINGEGAARD Jonas,2.Pro,10.0,10.0
19.02 - 23.02,Vuelta a Andalucia Ruta Ciclista Del Sol,SIVAKOV Pavel,2.Pro,9.92,9.73
20.02,National Championships Pakistan MJ - Road Race,KHAN Muhammad,NC,,
20.02,National Championships Pakistan WE - Road Race,GARIB Rabia,NC,,
20.02,Grand Prix Sonatrach,LAGAB Azzedine,1.2,6.91,-0.51
20.02,National Championships Pakistan WJ - Road Race,PATRAS Carol,NC,,
21.02,Classic Var,SCARONI Christian,1.1,10.0,10.0
21.02,National Championships Pakistan ME - Road Race,JAWAID Ali,NC,4.12,-10.0
21.02,National Championships Pakistan WE - ITT,GARIB Rabia,NC,,
21.02,National Championships Pakistan WJ - ITT,DURRANI Suhaira,NC,,
22.02,National Championships Pakistan ME - ITT,JAWAID Ali,NC,4.12,-10.0
22.02,National Championships Pakistan MU - ITT,ULLAH Sana,NC,0.0,
22.02 - 23.02,Tour des Alpes-Maritimes,SCARONI Christian,2.1,10.0,10.0
22.02,Grand Prix de la Ville d'Alger,HAMZA Yacine,1.2,7.32,0.88
22.02,National Championships Pakistan MJ - ITT,KHAN Talha,NC,,
23.02,Clasica de Almeria WE,WOLLASTON Ally,1.1,,
23.02 - 02.03,Tour du Rwanda,DOUBEY Fabien,2.1,8.36,4.42
25.02,National Championships Philippines ME - ITT,LIM Nash,NC,2.82,-14.42
25.02,National Championships Philippines MJ - ITT,VILLASEÑOR Darius,NC,,
25.02,National Championships Philippines MU - ITT,LAZATIN JR Anselmo,NC,,
25.02,National Championships Philippines WE - ITT,PRADO Jermyn,NC,,
25.02,National Championships Philippines WJ - ITT,FRANCISCO Mary Gwennielle,NC,,
25.02,National Championships Philippines WU - ITT,BONILLA Kim Syrel,NC,,
26.02,National Championships Philippines MJ - Road Race,ARMENDEZ Mark Arvin,NC,,
26.02,National Championships Philippines WJ - Road Race,VINOYA Jazmine Kaye,NC,,
26.02 - 02.03,O Gran Camiño -  The Historical Route,GEE-WEST Derek,2.1,9.98,9.93
27.02,National Championships Philippines MU - Road Race,CAMINGAO Rush,NC,,
27.02,National Championships Philippines WE - Road Race,PRADO Jermyn,NC,,
28.02,National Championships Philippines ME - Road Race,FELIPE Marcelo,NC,5.21,-6.29
01.03,Omloop Nieuwsblad ME,WÆRENSKJOLD Søren,1.UWT,10.0,10.0
01.03,Omloop Nieuwsblad WE,CLAES Lotte,1.WWT,,
01.03,Faun-Ardèche Classic,GRÉGOIRE Romain,1.Pro,10.0,10.0
01.03,Gran Premio San Vicente - Costa Blanca - Junior C.R.I.,URKAREGI Eñaut,1.1,,
01.03 - 02.03,Visit South Aegean Islands,HANSEN Alexander Arnt,2.2,6.62,-1.5
02.03,Faun Drome Classic,AYUSO Juan,1.Pro,10.0,10.0
02.03,Kuurne - Brussel - Kuurne,PHILIPSEN Jasper,1.Pro,10.0,10.0
02.03,Fenix Omloop van het Hageland,GERRITSE Femke,1.1,,
02.03,Gran Premio San Vicente - Costa Blanca - Junior Ruta,CLAISSE Édouard,1.1,,
02.03,Kuurne - Brussel - Kuurne Juniors,VERBEECK Tuur,1.1,,
04.03,Ename Samyn Classic,VAN DER POEL Mathieu,1.1,10.0,10.0
04.03,Le Samyn des Dames,WIEBES Lorena,1.1,,
05.03,Trofeo Laigueglia,AYUSO Juan,1.Pro,10.0,10.0
05.03,UMAG Classic,SCHWARZBACHER Matthias,1.2,6.79,-0.92
05.03,UMAG Classic Ladies,CRESTANELLO Lara,1.2,,
06.03 - 08.03,Vuelta a Extremadura Femenina,VAN DIJK Ellen,2.1,,
07.03 - 11.03,BIWASE Tour of Vietnam,FROLOVA Natalia,2.2,,
08.03,Strade Bianche,POGAČAR Tadej,1.UWT,10.0,10.0
08.03,Strade Bianche Donne,VOLLERING Demi,1.WWT,,
08.03,Grand Prix Criquielion,MOSCHETTI Matteo,1.1,9.69,8.95
08.03,Le Tour des 100 Communes,BRENNAN Matthew,1.2,10.0,10.0
08.03,Rhodes GP,BUDZIŃSKI Marcin,1.2,7.97,3.1
08.03,Salverda Bouw Ster van Zwolle,,1.2,,
09.03 - 16.03,Paris-Nice,JORGENSON Matteo,2.UWT,10.0,10.0
09.03,Gran Premi Les Franqueses KH7,BLANC Gustave,1.1,,
09.03,Grote prijs Jean - Pierre Monseré,BRUNEL Alexys,1.1,7.15,0.31
09.03,Trofeo Oro in Euro - Women's Bike Race,SWINKELS Karlijn,1.1,,
09.03,Dorpenomloop Rucphen,DE CEUSTER Milan,1.2,2.97,-13.91
09.03,Grand Prix de la Ville de Lillers Souvenir Bruno Comini,BRENNAN Matthew,1.2,10.0,10.0
09.03,POREČ Classic,MILAN Matteo,1.2,3.58,-11.84
09.03,POREČ Classic Ladies,DE BOER Manon,1.2,,
10.03 - 16.03,Tirreno-Adriatico,AYUSO Juan,2.UWT,10.0,10.0
11.03 - 13.03,Trofeo Ponente in Rosa,,2.2,,
12.03,Ixina GP Oetingen p/b Lotto,DE WILDE Julie,1.Pro,,
13.03 - 16.03,Istrian Spring Tour,BOICHIS Adrien,2.2,4.71,-7.99
13.03 - 16.03,Tour of Rhodes Powered by Rodos Palace,BASSET Pierre-Henry,2.2,5.06,-6.8
14.03,National Championships Panama ME - ITT,SAMUDIO Carlos,NC,5.46,-5.44
14.03,National Championships Panama MJ - ITT,MARTINEZ Jahaziel,NC,,
14.03,National Championships Panama MU - ITT,VARGAS Cristopher,NC,,
14.03,National Championships Panama WE - ITT,DUCREUX Wendy,NC,,
14.03,National Championships Panama WJ - ITT,ATENCIO Noemy,NC,,
14.03,National Championships Panama WU - ITT,LÓPEZ Maraya,NC,,
15.03 - 16.03,Betcity Elfstedenrace,,2.1,,
15.03,Danilith Nokere Koerse MJ,MICHIELSEN Thor,1.1,,
15.03,National Championships Panama MJ - Road Race,CABALLERO Boris,NC,,
15.03,National Championships Panama WE - Road Race,DUCREUX Wendy,NC,,
15.03,National Championships Panama WJ - Road Race,ATENCIO Noemy,NC,,
16.03,Trofeo Alfredo Binda - Comune di Cittiglio,BALSAMO Elisa,1.WWT,,
16.03,Piccolo Trofeo Alfredo Binda - Valli del Verbano,ARENS Megan,1.Ncup,,
16.03,National Championships Panama ME - Road Race,GONZÁLEZ Roberto Carlos,NC,6.01,-3.57
16.03,National Championships Panama MU - Road Race,CABALLERO Michael,NC,0.0,
16.03 - 20.03,Tour de Taiwan,GILMORE Brady,2.1,9.05,6.77
16.03,Popolarissima,SMIRNOV Ivan,1.2,2.28,-16.26
19.03,Danilith Nokere Koerse,EEKHOFF Nils,1.Pro,9.03,6.7
19.03,Danilith Nokere Koerse WE,LACH Marta,1.Pro,,
19.03,Milano - Torino,DEL TORO Isaac,1.Pro,10.0,10.0
20.03,Grand Prix de Denain - Porte du Hainaut,BRENNAN Matthew,1.Pro,10.0,10.0
21.03,Bredene Koksijde Classic,THEUNS Edward,1.Pro,8.47,4.8
21.03,Youngster Coast Challenge,SENTJENS Sente,1.2U,5.12,-6.6
22.03,Milano-Sanremo,VAN DER POEL Mathieu,1.UWT,10.0,10.0
22.03,Milano-Sanremo Donne,WIEBES Lorena,1.WWT,,
22.03,Classic Loire Atlantique,,1.1,,
22.03 - 23.03,Guido Reybrouck Classic,COLEMAN Vos,2.1,,
23.03,Bernaudeau Junior,CLAISSE Édouard,1.1,,
23.03,Cholet Agglo Tour,KUBIŠ Lukáš,1.1,10.0,10.0
23.03,GP Slovenian Istria,COPPENS Michiel,1.2,5.78,-4.35
23.03,Grand Prix Apollon Temple,RUDYK Bartosz,1.2,2.34,-16.05
23.03,Midwest Cycling Classic,SOUREN Scarlett,1.2,,
23.03,Strade Bianche di Romagna,,1.2,,
23.03,Troféu Internacional da Arrábida,GIAIMI Luca,1.2,3.12,-13.4
24.03 - 30.03,Volta Ciclista a Catalunya,ROGLIČ Primož,2.UWT,10.0,10.0
24.03 - 29.03,The Princess Maha Chakri Sirindhorn's Cup Tour of Thailand,SALBY Alexander,2.1,9.55,8.47
25.03 - 29.03,Settimana Internazionale Coppi e Bartali,TULETT Ben,2.1,9.93,9.76
26.03,Classic Brugge-De Panne ME,MOLANO Juan Sebastián,1.UWT,9.45,8.13
26.03 - 30.03,Olympia's Tour,L'HOTE Antoine,2.2,6.03,-3.5
26.03 - 30.03,Volta ao Alentejo,HOBBS Noah,2.2,6.72,-1.16
27.03,Classic Brugge-De Panne WE,WIEBES Lorena,1.WWT,,
27.03,GP Brda-Collio,BUDZIŃSKI Marcin,1.2,7.97,3.1
27.03,GP Goriska & Vipava Valley,,1.2,,
28.03,E3 Saxo Classic ME,VAN DER POEL Mathieu,1.UWT,10.0,10.0
28.03,E3 Saxo Classic MJ,BABOVICH Mikita,1.Ncup,,
29.03 - 30.03,Tour du Bocage et de l'Ernée 53,CLAISSE Édouard,2.1,,
30.03,Gent-Wevelgem in Flanders Fields ME,PEDERSEN Mads,1.UWT,10.0,10.0
30.03,Gent-Wevelgem In Flanders Fields WE,WIEBES Lorena,1.WWT,,
30.03,G.P. Emilia,,1.1,,
30.03,La Roue Tourangelle Centre Val de Loire - Groupama P.V.L.,BLIKRA Erlend,1.1,9.42,8.03
30.03,I feel Slovenia VN Adria Mobil,ERŽEN Žak,1.2,5.42,-5.58
31.03 - 02.04,The Princess Maha Chakri Sirindhorn's Cup Women's Tour of Thailand,MANEEPHAN Jutatip,2.2,,
01.04,Grand Prix Boquerón,STIASNY Petra,1.1,,
02.04,Dwars door Vlaanderen - A travers la Flandre ME,POWLESS Neilson,1.UWT,10.0,10.0
02.04,Dwars door Vlaanderen - A travers la Flandre WE,LONGO BORGHINI Elisa,1.Pro,,
02.04,Paris - Camembert,LOOCKX Lander,1.1,8.32,4.29
02.04 - 06.04,Tour El Salvador,HARTMANN Elena,2.1,,
02.04 - 06.04,ΔΕΗ Tour of Hellas,LÓPEZ Harold Martín,2.1,9.95,9.83
04.04 - 06.04,Internationale Cottbuser Junioren-Etappenfahrt,BARRY Ashlin,2.1,,
04.04,La Route Adélie de Vitré,FREDHEIM Stian,1.1,9.28,7.55
04.04 - 06.04,Jamaica International Cycling Classic,HENAO Sergio,2.2,4.0,-10.41
05.04,Gran Premio Miguel Indurain,NYS Thibau,1.Pro,9.45,8.13
05.04,Volta NXT Classic ME,SMITH Dion,1.1,7.7,2.18
05.04,Boucle de l'Artois,BOWER Lewis,1.2,4.61,-8.33
05.04,Volta NXT Classic WE,GERRITSE Femke,1.2,,
06.04,Ronde van Vlaanderen - Tour des Flandres ME,POGAČAR Tadej,1.UWT,10.0,10.0
06.04,Ronde van Vlaanderen - Tour des Flandres WE,KOPECKY Lotte,1.WWT,,
06.04,Grand Prix Syedra Ancient City,DE BOD Stefan,1.2,7.96,3.06
06.04,Trofeo Piva,TURCONI Filippo,1.2U,7.38,1.09
07.04 - 12.04,Itzulia Basque Country,ALMEIDA João,2.UWT,10.0,10.0
07.04 - 11.04,Tour of Hainan,TSARENKO Kyrylo,2.Pro,9.35,7.79
08.04,Grand Prix El Salvador,TOMASI Laura,1.1,,
08.04 - 11.04,Région Pays de la Loire Tour,VAUQUELIN Kévin,2.1,10.0,10.0
09.04,Scheldeprijs ME,MERLIER Tim,1.Pro,10.0,10.0
09.04,Grand Prix Presidente,MIERMONT Dilyxine,1.1,,
09.04,National Championships Uzbekistan MU - ITT,TSVETKOV Nikita,NC,7.48,1.43
09.04,Scheldeprijs WE,BALSAMO Elisa,1.1,,
